scaffold,frequency
c1ccc(-c2ccccc2-c2nn[nH]n2)cc1,2
c1ccc(Cc2ccccc2)cc1,2
c1ccc(OCc2ccc(-c3ccccc3)cc2)cc1,2
c1ccc2ccccc2c1,2
c1ccc2ncccc2c1,2
c1ncc2ncn(C3CCCO3)c2n1,2
C(=C(c1ccccc1)c1ccccc1)c1ccccc1,1
C(=Cn1cncn1)c1ccccc1,1
C(=NOCc1ccccc1)c1ccccc1,1
C1=C2C3CCCCC3CCC2C2CCC3CC(OC4CCCCO4)CCC3C2C1,1
C1=C2C3CCCCC3CCC2C2CCC3CC(OC4OCC(OC5CCCCO5)CC4OC4CCCCO4)CCC3C2C1,1
C1=C2C3CCCCC3CCC2C2CCC3CCCCC3C2C1,1
C1=C2CCN3Cc4cc5c(cc4C(CC1)C23)OCO5,1
C1=CC2C(C=COC2OC2CCCCO2)C1,1
C1=CC2CC(c3ccc4c(c3)C35CCN6CC=CC(CCC3N4)C65)c3[nH]c4ccccc4c3CN(C1)C2,1
C1=CC2CCC1C2,1
C1=CC2c3ccccc3OCC2CC1,1
C1=CCC=C1,1
C1=COC(OC2CCCC(OC3CCCCO3)C2)CC1,1
C1=Cc2ccccc2NC1,1
C1=NCC2C3CC4CC2(CC(O4)O3)N1,1
C1=NCCc2ncn(C3CCCO3)c2N1,1
C1=NOC(c2ccccc2)(c2ccccc2)C1,1
C1C2C3C4CC5C3C1C5C24,1
C1CC2CCC1CO2,1
C1CCC(OC2CCCO2)OC1,1
C1CCC(OC2OCCC2OC2CCCCO2)CC1,1
C1CCC2C(C1)CCC1C3CCCC3CCC21,1
C1CCCNCC1,1
C1CCN2CC3C(CCC4C3CC35OC6CCCC3C6CCC45)CC2C1,1
C1CCOC1,1
C1OC2COC3OCOC3C2O1,1
C=C(C(=O)NC1C(=O)N2C=CCSC12)c1cscn1,1
C=C1CC23CCC4CCC(OC5CCCCO5)CC4C2CCC1C3,1
C=C1CCC2CCCCC2C1CC=C1CCOC1=O,1
C=C1CCCC(=O)OCC2=CCN3CCC(OC1=O)C23,1
C=C1CN2CCC34c5ccccc5N5C(=O)CC=C(C1CC23)C54,1
C=C1NC(=O)C(NC(=O)C2CC3(CCNCC3)c3ccccc32)CCNC(=O)CNC(=O)CNC(=O)[CH]NC(=O)[CH]NC(=O)[CH]NC1=O,1
C=C1NC(=O)C(NC(=O)C2CCC(CNC(=O)OCc3ccccc3)CC2)CCNC(=O)CNC(=O)CNC(=O)[CH]NC(=O)[CH]NC(=O)[CH]NC1=O,1
C=C1NC(=O)C(NC(=O)C2CCCN(C(=O)c3ccccc3)C2)CCNC(=O)CNC(=O)CNC(=O)[CH]NC(=O)[CH]NC(=O)[CH]NC1=O,1
C=C1NC(=O)C(NC(=O)CCCCCCCCC(=O)OCc2ccccc2)CCNC(=O)CNC(=O)CNC(=O)[CH]NC(=O)[CH]NC(=O)[CH]NC1=O,1
C=C1NC(=O)C(NC(=O)CCc2nc(-c3ccccc3)n[nH]2)CCNC(=O)CNC(=O)CNC(=O)[CH]NC(=O)[CH]NC(=O)[CH]NC1=O,1
C=C1NC(=O)C(NC(=O)CCc2nc(-c3ccccc3)no2)CCNC(=O)CNC(=O)CNC(=O)[CH]NC(=O)[CH]NC(=O)[CH]NC1=O,1
