scaffold,frequency
O=C1[CH]NC(=O)[CH]NC(=O)[CH]NC(=O)[CH]NC(=O)[CH]NC(=O)CNC(=O)[CH]NC(=O)[CH]NC(=O)[CH]NC(=O)[CH]NC(=O)[CH]N1,1
O=c1[nH]c(-c2cccc(S(=O)(=O)N3CCNCC3)c2)nc2cn[nH]c12,1
O=c1[nH]c(-c2cccc(S(=O)(=O)N3CCNCC3)c2)nn2cncc12,1
O=c1[nH]c(=O)c2nc[nH]c2[nH]1,1
O=c1[nH]cnc2[nH]ncc12,1
O=c1[nH]cnc2c1ncn2[C]1CC[CH]O1,1
O=c1[nH]ncn1-c1ccc(N2CCN(c3ccc(OCC4COC(Cn5cncn5)(c5ccccc5)C4)cc3)CC2)cc1,1
O=c1cc[nH]c(=O)[nH]1,1
O=c1cc[nH]c2nc(N3CCNCC3)ccc12,1
O=c1ccn(-c2ccccc2)c2cc(N3CCNCC3)ccc12,1
O=c1ccn(-c2ccccc2)c2nc(N3CCCC3)ccc12,1
O=c1ccn(C2CC2)c2cc(N3CCC4(CC4)C3)ccc12,1
O=c1ccn(C2CCCO2)c(=O)[nH]1,1
O=c1ccn2c3c(c(C4CC4)ccc13)OCC2,1
O=c1ccs[nH]1,1
O=c1cnn([C]2[CH][CH][CH]O2)c(=O)[nH]1,1
O=c1nc[nH]c(=O)[nH]1,1
O=c1ncccn1C1CSCO1,1
O=c1oc2ccccc2cc1Cc1ccccc1,1
S=C(Nc1ccccc1)Oc1ccc2ccccc2c1,1
S=C1NCNCS1,1
[CH](c1ccccc1)n1ccnc1,1
[CH](c1ccncn1)C(Cn1cncn1)c1ccccc1,1
[CH]1C=CC23CCNCc4cccc(c42)O[C]3C1,1
[CH]1CC[C]2C[C]3C=CCC12C3,1
[CH]1[CH][CH]O[CH][CH]1,1
[CH]1[CH][C]2O[CH]O[C]2O1,1
c1c[nH+]ccn1,1
c1ccc(-c2c[nH]c3ccccc23)cc1,1
c1ccc(-c2ccccc2-c2nnn[nH]2)cc1,1
c1ccc(-c2ccncn2)cc1,1
c1ccc(-c2ncco2)cc1,1
c1ccc(-c2nccs2)cc1,1
c1ccc(-c2nnn[nH]2)c(-c2ccc(Cn3ccnc3)cc2)c1,1
c1ccc(-c2noc(-c3ccccc3)n2)cc1,1
c1ccc(C(CCCN2CCCCC2)c2ccccc2)cc1,1
c1ccc(C2CC2)cc1,1
