threshold,f1,kappa
0.3,0.7988338192419825,0.5497505011302085
0.31,0.8058823529411765,0.5692714553830405
0.32,0.8023598820058997,0.5627266134880349
0.33,0.7952522255192879,0.549635254468666
0.34,0.7916666666666666,0.5430887372013652
0.35000000000000003,0.7904191616766467,0.5430497482720369
0.36000000000000004,0.7951807228915663,0.556067588325653
0.37000000000000005,0.7878787878787878,0.5429717504480669
0.38000000000000006,0.7926829268292683,0.5559918060771594
0.39000000000000007,0.8,0.5755260574501686
0.4000000000000001,0.8012422360248447,0.5820029027576197
0.4100000000000001,0.7987421383647799,0.5819315173768251
0.4200000000000001,0.8012618296529969,0.5884462661713847
0.4300000000000001,0.802547770700637,0.5949269792467333
0.4400000000000001,0.8102893890675241,0.6144778987828314
0.4500000000000001,0.8104575163398693,0.6209312259718069
0.46000000000000013,0.8065573770491803,0.6143790849673203
0.47000000000000014,0.8092105263157895,0.6208988380041012
0.48000000000000015,0.8,0.6077593573748077
0.49000000000000016,0.8080808080808081,0.6273236186487756
0.5000000000000002,0.7986348122866894,0.6141813052955507
