variant,calibration,threshold_objective,threshold,external_auroc,external_accuracy,external_f1,external_kappa
blend_inverse_stacking__cal_none__thr_f1,none,f1,0.4500000000000001,0.853421052631579,0.7781456953642384,0.7788778877887789,0.5563303074156909
blend_inverse_stacking__cal_none__thr_kappa,none,kappa,0.49000000000000016,0.853421052631579,0.7880794701986755,0.7837837837837838,0.576065976487103
blend_inverse_stacking__cal_isotonic__thr_f1,isotonic,f1,0.37000000000000005,0.8527412280701755,0.7814569536423841,0.7828947368421053,0.5629714085248202
blend_inverse_stacking__cal_isotonic__thr_kappa,isotonic,kappa,0.4200000000000001,0.8527412280701755,0.7417218543046358,0.6904761904761905,0.48233122362869196
blend_inverse_stacking__cal_sigmoid__thr_f1,sigmoid,f1,0.4400000000000001,0.853421052631579,0.7781456953642384,0.7788778877887789,0.5563303074156909
blend_inverse_stacking__cal_sigmoid__thr_kappa,sigmoid,kappa,0.4400000000000001,0.853421052631579,0.7781456953642384,0.7788778877887789,0.5563303074156909
