iter	Passed	Remaining
400	29857	7371
401	29928	7296
402	30001	7221
403	30073	7146
404	30145	7071
405	30217	6996
406	30291	6921
407	30362	6846
408	30432	6771
409	30503	6695
410	30576	6621
411	30649	6546
412	30720	6471
413	30793	6396
414	30865	6321
415	30937	6246
416	31010	6172
417	31083	6097
418	31153	6022
419	31222	5947
420	31294	5872
421	31364	5797
422	31436	5722
423	31512	5648
424	31585	5573
425	31660	5499
426	31728	5424
427	31798	5349
428	31871	5274
429	31939	5199
430	32012	5124
431	32085	5050
432	32155	4975
433	32227	4900
434	32299	4826
435	32370	4751
436	32443	4677
437	32515	4602
438	32589	4528
439	32663	4454
440	32738	4380
441	32813	4305
442	32884	4231
443	32955	4156
444	33029	4082
445	33100	4007
446	33172	3933
447	33246	3858
448	33321	3784
449	33393	3710
450	33469	3636
451	33544	3562
452	33619	3488
453	33692	3413
454	33765	3339
455	33839	3265
456	33909	3190
457	33978	3115
458	34050	3041
459	34120	2966
460	34188	2892
461	34257	2817
462	34332	2743
463	34428	2671
464	34500	2596
465	34573	2522
466	34646	2448
467	34720	2374
468	34793	2299
469	34865	2225
470	34939	2151
471	35010	2076
472	35081	2002
473	35155	1928
474	35228	1854
475	35299	1779
476	35373	1705
477	35445	1631
478	35519	1557
479	35598	1483
480	35672	1409
481	35745	1334
482	35818	1260
483	35887	1186
484	35957	1112
485	36029	1037
486	36099	963
487	36173	889
488	36243	815
489	36315	741
490	36386	666
491	36458	592
492	36532	518
493	36606	444
494	36676	370
495	36744	296
496	36820	222
497	36894	148
498	36965	74
499	37041	0
