iter	Logloss
0	0.6812189637
1	0.6713569512
2	0.6621092865
3	0.651467279
4	0.6422282583
5	0.6331591779
6	0.6268999341
7	0.6198250596
8	0.6116487727
9	0.6047240128
10	0.5981300887
11	0.5919378325
12	0.5865864246
13	0.5811344717
14	0.5750544676
15	0.5685937789
16	0.5639722188
17	0.5590890216
18	0.553578825
19	0.5483791309
20	0.5430254317
21	0.5382423683
22	0.5339886761
23	0.52911514
24	0.5246676815
25	0.5217460088
26	0.5172896974
27	0.5124527702
28	0.5090884132
29	0.5050954001
30	0.5013382405
31	0.4985799477
32	0.4952580712
33	0.4918920144
34	0.4884679323
35	0.4855413467
36	0.4834430559
37	0.4808106073
38	0.4776849401
39	0.4744258361
40	0.4714760061
41	0.4688113193
42	0.4673971532
43	0.4653183391
44	0.4627956228
45	0.4595799939
46	0.4579304839
47	0.4554208081
48	0.4531380119
49	0.4501348554
50	0.448017268
51	0.4458126586
52	0.4438185614
53	0.4424187163
54	0.439945115
55	0.4379904999
56	0.4355834203
57	0.432943756
58	0.4306987595
59	0.4281576794
60	0.4263532341
61	0.4236504754
62	0.4216574297
63	0.4204411126
64	0.4186820843
65	0.4165961403
66	0.4145857968
67	0.4128085083
68	0.4101700327
69	0.4084819159
70	0.4064435871
71	0.4048734178
72	0.4027385878
73	0.4003182428
74	0.3984482776
75	0.3968461524
76	0.3950421457
77	0.3929798193
78	0.3916101523
79	0.3902187253
80	0.388541796
81	0.3863827464
82	0.3851090884
83	0.3839164627
84	0.3822825789
85	0.3805917019
86	0.3785993202
87	0.3772065756
88	0.3752074445
89	0.3741984599
90	0.3724935955
91	0.3710425693
92	0.3695974304
93	0.3678446398
94	0.3664810429
95	0.3646428088
96	0.3632664572
97	0.3620786305
98	0.3606599683
99	0.359012411
100	0.3577495489
101	0.3569993926
102	0.3556250656
103	0.3538597813
104	0.3522542467
105	0.3513360229
106	0.3498637253
107	0.3488449638
108	0.347429866
109	0.3458561505
110	0.3445087431
111	0.3434814275
112	0.3423962728
113	0.3413195986
114	0.339826727
115	0.3385346032
116	0.3377438817
117	0.3365935458
118	0.3352907598
119	0.3339304698
120	0.3329721935
121	0.3322742708
122	0.331005743
123	0.329833337
124	0.3288955236
125	0.3279490093
126	0.3266972009
127	0.325642654
128	0.3243188491
129	0.3239123279
130	0.3227551281
131	0.3217064147
132	0.3210518905
133	0.3202246411
134	0.3190739683
135	0.3186366679
136	0.3170855617
137	0.3161662961
138	0.3151225525
139	0.3141991214
140	0.3131627693
141	0.3124880873
142	0.3118599316
143	0.3109029472
144	0.3095681527
145	0.3082942226
146	0.3072805957
147	0.306247871
148	0.305558557
149	0.3045866583
150	0.3038992019
151	0.3031897214
152	0.3023678269
153	0.3012886134
154	0.3003198744
155	0.2994511654
156	0.2986106029
157	0.2976769509
158	0.2968426728
159	0.2959864431
160	0.2953852532
161	0.2945756582
162	0.2939445166
163	0.2927209207
164	0.2916793998
165	0.2911067067
166	0.2903313149
167	0.2893391983
168	0.2886958179
169	0.2877174838
170	0.2869962399
171	0.2863265741
172	0.2855536473
173	0.284936999
174	0.2837474228
175	0.28249268
176	0.2815170916
177	0.280699086
178	0.280157437
179	0.2794786902
180	0.2786303485
181	0.2781295162
182	0.2771291843
183	0.2765718824
184	0.27578321
185	0.2746504923
186	0.2738206944
187	0.2731984341
188	0.2725881958
189	0.2716024154
190	0.2708986949
191	0.2701613463
192	0.269351616
193	0.2688265486
194	0.2680834556
195	0.2671448945
196	0.2663817704
197	0.2654026169
198	0.264741771
199	0.2641980736
200	0.2633657939
201	0.2629176226
202	0.2624137916
203	0.2616125153
204	0.2606435939
205	0.2595491918
206	0.2589312185
207	0.2586522333
208	0.2575824605
209	0.2572073134
210	0.2563803839
211	0.2556462588
212	0.2544806422
213	0.2538143691
214	0.2531066528
215	0.2524857554
216	0.2517638162
217	0.2508623543
218	0.2499605224
219	0.2494485386
220	0.2485845128
221	0.2476055483
222	0.246518163
223	0.2454833876
224	0.2452051154
225	0.2445152982
226	0.2441500783
227	0.2437166244
228	0.2431162206
229	0.2425423192
230	0.2415954237
231	0.2413192882
232	0.240756103
233	0.2401503585
234	0.2395289974
235	0.2389919839
236	0.2385325978
237	0.2380240579
238	0.2371371989
239	0.2363757239
240	0.2354913224
241	0.2350773418
242	0.2347447805
243	0.2342225335
244	0.2337915413
245	0.2331326093
246	0.232524047
247	0.2318679658
248	0.2314480937
249	0.2309350228
250	0.2304415539
251	0.2300743721
252	0.2298634306
253	0.229310016
254	0.2289227231
255	0.2278750056
256	0.2274506249
257	0.2269991432
258	0.2261625947
259	0.2255477802
260	0.2247912293
261	0.2241244437
262	0.2237453633
263	0.2233447046
264	0.2229174802
265	0.2223327476
266	0.2219461893
267	0.2214037104
268	0.2211168756
269	0.2206639442
270	0.2202719474
271	0.2199020527
272	0.2193144791
273	0.2187772559
274	0.2183336288
275	0.2173554128
276	0.216646294
277	0.2161058347
278	0.2154209447
279	0.2148909974
280	0.2142472131
281	0.2134702392
282	0.2129112902
283	0.2123548808
284	0.2116540383
285	0.2110780896
286	0.2104757452
287	0.2100398684
288	0.2094852322
289	0.2091886054
290	0.2087950507
291	0.2079172617
292	0.2073021233
293	0.20664875
294	0.2059199611
295	0.2051510687
296	0.2046691116
297	0.2039254065
298	0.2032040115
299	0.2028454412
300	0.2022120727
301	0.2015206622
302	0.2011019435
303	0.2006002403
304	0.2000000293
305	0.1993039734
306	0.1985584902
307	0.1978516356
308	0.1975400225
309	0.1972014217
310	0.1966303516
311	0.1959595645
312	0.1953531701
313	0.1945333507
314	0.1941358202
315	0.1936440729
316	0.1925905362
317	0.1923295812
318	0.1918807825
319	0.1911237172
320	0.190733692
321	0.1902928748
322	0.1896932025
323	0.1891970698
324	0.1884013392
325	0.1876689103
326	0.1872988743
327	0.1868949563
328	0.1866706613
329	0.1862171245
330	0.1856407337
331	0.1850156874
332	0.1845964359
333	0.1841098003
334	0.1835207946
335	0.182822633
336	0.1824032668
337	0.1820093431
338	0.1814011395
339	0.1809854711
340	0.1807513115
341	0.1803710167
342	0.1797770293
343	0.1794659566
344	0.1790547295
345	0.178631134
346	0.1783207991
347	0.1778697687
348	0.1776429464
349	0.1771543701
350	0.1765455478
351	0.1760650585
352	0.1755783091
353	0.1750182761
354	0.1742692714
355	0.1739788574
356	0.1738212038
357	0.1732408656
358	0.1727953932
359	0.172586011
360	0.1721616275
361	0.1715717346
362	0.1709596584
363	0.1703115544
364	0.1698588542
365	0.1692205198
366	0.169004716
367	0.1682972603
368	0.1675789948
369	0.1672172121
370	0.1668962588
371	0.1666117631
372	0.1658885954
373	0.1656551883
374	0.1651699691
375	0.1647109074
376	0.1639331107
