iter	Logloss
377	0.1637973418
378	0.1632547323
379	0.162775237
380	0.1624930626
381	0.1622310533
382	0.1617448256
383	0.1610396461
384	0.1606572149
385	0.1602877354
386	0.1602151476
387	0.1597043411
388	0.1591754015
389	0.1583034541
390	0.1576568601
391	0.1567028039
392	0.1561259388
393	0.1556408565
394	0.1554521132
395	0.1550801984
396	0.1546445332
397	0.1538453013
398	0.1533063932
399	0.1530623192
400	0.1524667369
401	0.1521441531
402	0.1516232987
403	0.1512068068
404	0.1506965564
405	0.1501512898
406	0.1496904259
407	0.1494113202
408	0.1492841031
409	0.1489121968
410	0.1482624918
411	0.1477541466
412	0.1474561812
413	0.146972187
414	0.1464199003
415	0.1459856894
416	0.145482815
417	0.1449831656
418	0.1446826441
419	0.1445348114
420	0.1441540927
421	0.1440180952
422	0.1438514448
423	0.1432231118
424	0.1425724707
425	0.1420272585
426	0.1419871236
427	0.1416495335
428	0.141046926
429	0.1409583209
430	0.1405377748
431	0.1399316891
432	0.139721063
433	0.1393291699
434	0.1388094742
435	0.1386788288
436	0.1380153913
437	0.1379444698
438	0.1373391737
439	0.1367947057
440	0.1364522975
441	0.1356040957
442	0.1354553812
443	0.1351458093
444	0.1348584463
445	0.1343660121
446	0.1339437127
447	0.1332521806
448	0.1325264234
449	0.1322293298
450	0.131740322
451	0.1312871252
452	0.1306511343
453	0.1300702802
454	0.1295559565
455	0.1290995836
456	0.1288620178
457	0.1287696013
458	0.1285146073
459	0.1283256583
460	0.1282787597
461	0.128242078
462	0.1275847037
463	0.1271959001
464	0.1268936612
465	0.1265137769
466	0.126082127
467	0.1255242651
468	0.1250130113
469	0.1245743818
470	0.1239512707
471	0.123547541
472	0.1233459239
473	0.1227378773
474	0.1222467686
475	0.121989865
476	0.1215711747
477	0.1212441023
478	0.1207851613
479	0.120432562
480	0.120028571
481	0.1194119565
482	0.1189512776
483	0.1187935423
484	0.1184295805
485	0.1179173037
486	0.1177807277
487	0.1172973631
488	0.1169877096
489	0.1163285804
490	0.1161723788
491	0.1156293016
492	0.1151858753
493	0.1147299083
494	0.1146786539
495	0.1146520965
496	0.114056603
497	0.1134148306
498	0.1130410887
499	0.1123977386
