variant,calibration,threshold_objective,threshold,external_auroc,external_accuracy,external_f1,external_kappa
lgbm_morgan_r2_plus_knn_probs__cal_none__thr_f1,none,f1,0.5000000000000002,0.8536403508771929,0.7748344370860927,0.7424242424242424,0.5489369179406081
lgbm_morgan_r2_plus_knn_probs__cal_none__thr_kappa,none,kappa,0.5000000000000002,0.8536403508771929,0.7748344370860927,0.7424242424242424,0.5489369179406081
lgbm_morgan_r2_plus_knn_probs__cal_isotonic__thr_f1,isotonic,f1,0.3,0.8289035087719299,0.7715231788079471,0.7315175097276264,0.542162850990904
lgbm_morgan_r2_plus_knn_probs__cal_isotonic__thr_kappa,isotonic,kappa,0.49000000000000016,0.8289035087719299,0.6887417218543046,0.5648148148148148,0.37515407642190524
lgbm_morgan_r2_plus_knn_probs__cal_sigmoid__thr_f1,sigmoid,f1,0.32,0.8536403508771929,0.7748344370860927,0.7424242424242424,0.5489369179406081
lgbm_morgan_r2_plus_knn_probs__cal_sigmoid__thr_kappa,sigmoid,kappa,0.35000000000000003,0.8536403508771929,0.7019867549668874,0.5909090909090909,0.40184859154929575
