threshold,f1,kappa
0.3,0.6862302483069977,0.09682762135303846
0.31,0.6848072562358276,0.09675090252707597
0.32,0.6863636363636364,0.10321100917431192
0.33,0.6879271070615034,0.10967166461368572
0.34,0.6894977168949772,0.1161328689151303
0.35000000000000003,0.6910755148741419,0.12259462214859185
0.36000000000000004,0.6910755148741419,0.12259462214859185
0.37000000000000005,0.6896551724137931,0.12252007307022394
0.38000000000000006,0.6912442396313364,0.12898292123374955
0.39000000000000007,0.691415313225058,0.13537284894837476
0.4000000000000001,0.6930232558139535,0.14183734171836504
0.4100000000000001,0.6869158878504673,0.12876083630800617
0.4200000000000001,0.6901408450704225,0.14169145771355718
0.4300000000000001,0.6919431279620853,0.1545524100994643
0.4400000000000001,0.6904761904761905,0.15448053052201993
0.4500000000000001,0.6971153846153846,0.180357142857143
0.46000000000000013,0.6941747572815534,0.18021772410273862
0.47000000000000014,0.6926829268292682,0.18014799693799444
0.48000000000000015,0.6965174129353234,0.20590487535097424
0.49000000000000016,0.7,0.218856364874064
0.5000000000000002,0.7017543859649122,0.2253329362209079
