variant,calibration,threshold_objective,threshold,external_auroc,external_accuracy,external_f1,external_kappa
weighted_knn_r2__cal_none__thr_f1,none,f1,0.49000000000000016,0.8566008771929825,0.7715231788079471,0.7692307692307693,0.5430062722049213
weighted_knn_r2__cal_none__thr_kappa,none,kappa,0.49000000000000016,0.8566008771929825,0.7715231788079471,0.7692307692307693,0.5430062722049213
weighted_knn_r2__cal_isotonic__thr_f1,isotonic,f1,0.4000000000000001,0.848969298245614,0.7516556291390728,0.7126436781609196,0.5024383814419402
weighted_knn_r2__cal_isotonic__thr_kappa,isotonic,kappa,0.4000000000000001,0.848969298245614,0.7516556291390728,0.7126436781609196,0.5024383814419402
weighted_knn_r2__cal_sigmoid__thr_f1,sigmoid,f1,0.46000000000000013,0.8566008771929825,0.7715231788079471,0.7544483985765125,0.5426451867784557
weighted_knn_r2__cal_sigmoid__thr_kappa,sigmoid,kappa,0.5000000000000002,0.8566008771929825,0.7549668874172185,0.7196969696969697,0.5091372342294851
