threshold,f1,kappa
0.3,0.7621776504297995,0.4585340894555068
0.31,0.7558139534883721,0.4518935516888434
0.32,0.7565982404692082,0.4583493282149712
0.33,0.7610619469026548,0.4713560551124003
0.34,0.7678571428571429,0.49087030716723545
0.35000000000000003,0.7710843373493976,0.5038402457757296
0.36000000000000004,0.7706422018348624,0.510264179932568
0.37000000000000005,0.7753846153846153,0.5232831106748048
0.38000000000000006,0.779874213836478,0.5427375971309025
0.39000000000000007,0.7848101265822784,0.5557643040136635
0.4000000000000001,0.7859424920127795,0.5622411068881581
0.4100000000000001,0.7909967845659164,0.575272261370916
0.4200000000000001,0.7870967741935484,0.5687195694883402
0.4300000000000001,0.7882736156351792,0.575199692452266
0.4400000000000001,0.7986798679867987,0.6012731234246165
0.4500000000000001,0.8093645484949833,0.6273554672477888
0.46000000000000013,0.815068493150685,0.6468627115746282
0.47000000000000014,0.8125,0.6468023255813953
0.48000000000000015,0.8111888111888111,0.6467721248396751
0.49000000000000016,0.8098591549295775,0.6467419189327861
0.5000000000000002,0.8113879003558719,0.6532392559332906
