model,variant,external_auroc,external_accuracy,external_f1,external_kappa
baseline,ens_r2_b1024_dice_k31_25_15_isotonic_thr040,0.8516008771929825,0.7615894039735099,0.7313432835820896,0.522487702037948
best_internal_selected,lgbm_morgan_r2_only__cal_sigmoid__thr_f1,0.8228947368421053,0.7317880794701986,0.7582089552238805,0.46437486314867527
