threshold,f1,kappa
0.3,0.7661971830985915,0.4586725776887336
0.31,0.7621776504297995,0.4585340894555068
0.32,0.7594202898550725,0.4584417245937993
0.33,0.7580174927113703,0.45839553034503344
0.34,0.7588235294117647,0.46485241426377755
0.35000000000000003,0.7771084337349398,0.5168970814132106
0.36000000000000004,0.774390243902439,0.5168146124957322
0.37000000000000005,0.7815384615384615,0.5363438473686457
0.38000000000000006,0.7888198757763976,0.555878084179971
0.39000000000000007,0.7873015873015873,0.5622784918228789
0.4000000000000001,0.7935483870967742,0.581788673443239
0.4100000000000001,0.7987012987012987,0.5948231676063558
0.4200000000000001,0.7973856209150327,0.5947885519008971
0.4300000000000001,0.8013245033112583,0.6077928736221481
0.4400000000000001,0.8027210884353742,0.6207368151124028
0.4500000000000001,0.8013698630136986,0.6207043939134895
0.46000000000000013,0.8068965517241379,0.6337522441651706
0.47000000000000014,0.8027681660899654,0.6271961697943829
0.48000000000000015,0.8028169014084507,0.633658286300667
0.49000000000000016,0.7928571428571428,0.6205097502565857
0.5000000000000002,0.7928571428571428,0.6205097502565857
