variant,calibration,threshold_objective,threshold,external_auroc,external_accuracy,external_f1,external_kappa
distance_inverse_knn_r2__cal_none__thr_f1,none,f1,0.5000000000000002,0.8493201754385965,0.7781456953642384,0.7774086378737541,0.5562913907284768
distance_inverse_knn_r2__cal_none__thr_kappa,none,kappa,0.5000000000000002,0.8493201754385965,0.7781456953642384,0.7774086378737541,0.5562913907284768
distance_inverse_knn_r2__cal_isotonic__thr_f1,isotonic,f1,0.4000000000000001,0.849407894736842,0.7682119205298014,0.7407407407407407,0.5357927097057532
distance_inverse_knn_r2__cal_isotonic__thr_kappa,isotonic,kappa,0.4000000000000001,0.849407894736842,0.7682119205298014,0.7407407407407407,0.5357927097057532
distance_inverse_knn_r2__cal_sigmoid__thr_f1,sigmoid,f1,0.46000000000000013,0.8519517543859649,0.7649006622516556,0.7436823104693141,0.5293058787373228
distance_inverse_knn_r2__cal_sigmoid__thr_kappa,sigmoid,kappa,0.46000000000000013,0.8519517543859649,0.7649006622516556,0.7436823104693141,0.5293058787373228
