source_csv,source_name,model_group,row_index,metric,score
confirmed_models/results_full_coverage_descriptor_fp_meta_v4/summaries/external_metrics__blend_challenger_desc_logreg_valopt__cal_none__thr_f1.csv,confirmed_models__results_full_coverage_descriptor_fp_meta_v4__summaries__external_metrics__blend_challenger_desc_logreg_valopt__cal_none__thr_f1.csv,confirmed_models,0,kappa,0.5358742425573022
confirmed_models/results_full_coverage_descriptor_fp_meta_v4/summaries/external_metrics__blend_challenger_desc_logreg_valopt__cal_none__thr_f1.csv,confirmed_models__results_full_coverage_descriptor_fp_meta_v4__summaries__external_metrics__blend_challenger_desc_logreg_valopt__cal_none__thr_f1.csv,confirmed_models,0,auroc,0.8428070175438598
confirmed_models/results_full_coverage_descriptor_fp_meta_v4/summaries/external_metrics__blend_challenger_desc_logreg_valopt__cal_none__thr_f1.csv,confirmed_models__results_full_coverage_descriptor_fp_meta_v4__summaries__external_metrics__blend_challenger_desc_logreg_valopt__cal_none__thr_f1.csv,confirmed_models,0,specificity,0.8552631578947368
confirmed_models/results_full_coverage_descriptor_fp_meta_v4/summaries/external_metrics__blend_challenger_desc_logreg_valopt__cal_none__thr_f1.csv,confirmed_models__results_full_coverage_descriptor_fp_meta_v4__summaries__external_metrics__blend_challenger_desc_logreg_valopt__cal_none__thr_f1.csv,confirmed_models,0,sensitivity,0.68
confirmed_models/results_full_coverage_descriptor_fp_meta_v4/summaries/external_metrics__blend_challenger_desc_logreg_valopt__cal_none__thr_f1.csv,confirmed_models__results_full_coverage_descriptor_fp_meta_v4__summaries__external_metrics__blend_challenger_desc_logreg_valopt__cal_none__thr_f1.csv,confirmed_models,0,mcc,0.54401882954922
confirmed_models/results_full_coverage_descriptor_fp_meta_v4/summaries/external_metrics__blend_challenger_desc_logreg_valopt__cal_none__thr_f1.csv,confirmed_models__results_full_coverage_descriptor_fp_meta_v4__summaries__external_metrics__blend_challenger_desc_logreg_valopt__cal_none__thr_f1.csv,confirmed_models,0,tp,102.0
confirmed_models/results_full_coverage_descriptor_fp_meta_v4/summaries/external_metrics__blend_challenger_desc_logreg_valopt__cal_none__thr_f1.csv,confirmed_models__results_full_coverage_descriptor_fp_meta_v4__summaries__external_metrics__blend_challenger_desc_logreg_valopt__cal_none__thr_f1.csv,confirmed_models,0,fp,22.0
confirmed_models/results_full_coverage_descriptor_fp_meta_v4/summaries/external_metrics__blend_challenger_desc_logreg_valopt__cal_none__thr_f1.csv,confirmed_models__results_full_coverage_descriptor_fp_meta_v4__summaries__external_metrics__blend_challenger_desc_logreg_valopt__cal_none__thr_f1.csv,confirmed_models,0,tn,130.0
confirmed_models/results_full_coverage_descriptor_fp_meta_v4/summaries/external_metrics__blend_challenger_desc_logreg_valopt__cal_none__thr_f1.csv,confirmed_models__results_full_coverage_descriptor_fp_meta_v4__summaries__external_metrics__blend_challenger_desc_logreg_valopt__cal_none__thr_f1.csv,confirmed_models,0,fn,48.0
confirmed_models/results_full_coverage_descriptor_fp_meta_v4/summaries/external_metrics__blend_challenger_fpdesc_desclogreg_valopt3__cal_isotonic__thr_f1.csv,confirmed_models__results_full_coverage_descriptor_fp_meta_v4__summaries__external_metrics__blend_challenger_fpdesc_desclogreg_valopt3__cal_isotonic__thr_f1.csv,confirmed_models,0,accuracy,0.7350993377483444
