accuracy,precision,recall,f1,kappa,auroc,specificity,sensitivity,mcc,tp,fp,tn,fn,source_csv,source_name,model_group,row_index,metric,mean,std,model_name,n_train,n_test,overlap_removed,optuna_best_cv_auroc,representation,fold,auc,acc,se,split,auprc
0.7615894039735099,0.7910447761194029,0.7066666666666667,0.7464788732394366,0.5228230337078652,0.803377192982456,0.8157894736842105,0.7066666666666667,0.5257874566132115,106.0,28.0,124.0,44.0,confirmed_models/results_full_coverage_descriptor_fp_meta_v4/summaries/external_metrics__blend_challenger_desc_logreg_50_50__cal_none__thr_f1.csv,confirmed_models__results_full_coverage_descriptor_fp_meta_v4__summaries__external_metrics__blend_challenger_desc_logreg_50_50__cal_none__thr_f1.csv,confirmed_models,0,,,,,,,,,,,,,,,
0.7682119205298014,0.8225806451612904,0.68,0.7445255474452555,0.5358742425573022,0.8428070175438598,0.8552631578947368,0.68,0.54401882954922,102.0,22.0,130.0,48.0,confirmed_models/results_full_coverage_descriptor_fp_meta_v4/summaries/external_metrics__blend_challenger_desc_logreg_valopt__cal_none__thr_f1.csv,confirmed_models__results_full_coverage_descriptor_fp_meta_v4__summaries__external_metrics__blend_challenger_desc_logreg_valopt__cal_none__thr_f1.csv,confirmed_models,0,,,,,,,,,,,,,,,
0.7350993377483444,0.7966101694915254,0.6266666666666667,0.7014925373134329,0.4694307800421644,0.8195394736842105,0.8421052631578947,0.6266666666666667,0.4803735720225674,94.0,24.0,128.0,56.0,confirmed_models/results_full_coverage_descriptor_fp_meta_v4/summaries/external_metrics__blend_challenger_fpdesc_desclogreg_valopt3__cal_isotonic__thr_f1.csv,confirmed_models__results_full_coverage_descriptor_fp_meta_v4__summaries__external_metrics__blend_challenger_fpdesc_desclogreg_valopt3__cal_isotonic__thr_f1.csv,confirmed_models,0,,,,,,,,,,,,,,,
0.7350993377483444,0.7966101694915254,0.6266666666666667,0.7014925373134329,0.4694307800421644,0.8195394736842105,0.8421052631578947,0.6266666666666667,0.4803735720225674,94.0,24.0,128.0,56.0,confirmed_models/results_full_coverage_descriptor_fp_meta_v4/summaries/external_metrics__blend_challenger_fpdesc_desclogreg_valopt3__cal_isotonic__thr_kappa.csv,confirmed_models__results_full_coverage_descriptor_fp_meta_v4__summaries__external_metrics__blend_challenger_fpdesc_desclogreg_valopt3__cal_isotonic__thr_kappa.csv,confirmed_models,0,,,,,,,,,,,,,,,
0.7350993377483444,0.7058823529411765,0.8,0.75,0.4706397896581945,0.8207456140350877,0.6710526315789473,0.8,0.4748160945778248,120.0,50.0,102.0,30.0,confirmed_models/results_full_coverage_descriptor_fp_meta_v4/summaries/external_metrics__blend_challenger_fpdesc_desclogreg_valopt3__cal_none__thr_f1.csv,confirmed_models__results_full_coverage_descriptor_fp_meta_v4__summaries__external_metrics__blend_challenger_fpdesc_desclogreg_valopt3__cal_none__thr_f1.csv,confirmed_models,0,,,,,,,,,,,,,,,
0.7317880794701986,0.7225806451612903,0.7466666666666667,0.7344262295081967,0.4636702477526858,0.8207456140350877,0.7171052631578947,0.7466666666666667,0.4639245616963339,112.0,43.0,109.0,38.0,confirmed_models/results_full_coverage_descriptor_fp_meta_v4/summaries/external_metrics__blend_challenger_fpdesc_desclogreg_valopt3__cal_none__thr_kappa.csv,confirmed_models__results_full_coverage_descriptor_fp_meta_v4__summaries__external_metrics__blend_challenger_fpdesc_desclogreg_valopt3__cal_none__thr_kappa.csv,confirmed_models,0,,,,,,,,,,,,,,,
0.7350993377483444,0.7058823529411765,0.8,0.75,0.4706397896581945,0.8207456140350877,0.6710526315789473,0.8,0.4748160945778248,120.0,50.0,102.0,30.0,confirmed_models/results_full_coverage_descriptor_fp_meta_v4/summaries/external_metrics__blend_challenger_fpdesc_desclogreg_valopt3__cal_sigmoid__thr_f1.csv,confirmed_models__results_full_coverage_descriptor_fp_meta_v4__summaries__external_metrics__blend_challenger_fpdesc_desclogreg_valopt3__cal_sigmoid__thr_f1.csv,confirmed_models,0,,,,,,,,,,,,,,,
0.7317880794701986,0.7225806451612903,0.7466666666666667,0.7344262295081967,0.4636702477526858,0.8207456140350877,0.7171052631578947,0.7466666666666667,0.4639245616963339,112.0,43.0,109.0,38.0,confirmed_models/results_full_coverage_descriptor_fp_meta_v4/summaries/external_metrics__blend_challenger_fpdesc_desclogreg_valopt3__cal_sigmoid__thr_kappa.csv,confirmed_models__results_full_coverage_descriptor_fp_meta_v4__summaries__external_metrics__blend_challenger_fpdesc_desclogreg_valopt3__cal_sigmoid__thr_kappa.csv,confirmed_models,0,,,,,,,,,,,,,,,
0.7384105960264901,0.7100591715976331,0.8,0.7523510971786834,0.4772338840439983,0.8304166666666666,0.6776315789473685,0.8,0.4810511790829873,120.0,49.0,103.0,30.0,confirmed_models/results_full_coverage_descriptor_fp_meta_v4/summaries/external_metrics__blend_challenger_fpdesc_lgbm_50_50__cal_isotonic__thr_f1.csv,confirmed_models__results_full_coverage_descriptor_fp_meta_v4__summaries__external_metrics__blend_challenger_fpdesc_lgbm_50_50__cal_isotonic__thr_f1.csv,confirmed_models,0,,,,,,,,,,,,,,,
0.7350993377483444,0.782258064516129,0.6466666666666666,0.708029197080292,0.4695705629226311,0.8304166666666666,0.8223684210526315,0.6466666666666666,0.4767074207800195,97.0,27.0,125.0,53.0,confirmed_models/results_full_coverage_descriptor_fp_meta_v4/summaries/external_metrics__blend_challenger_fpdesc_lgbm_50_50__cal_isotonic__thr_kappa.csv,confirmed_models__results_full_coverage_descriptor_fp_meta_v4__summaries__external_metrics__blend_challenger_fpdesc_lgbm_50_50__cal_isotonic__thr_kappa.csv,confirmed_models,0,,,,,,,,,,,,,,,
