variant,calibration,threshold_objective,threshold,external_auroc,external_accuracy,external_f1,external_kappa
stacking_combo_logreg__cal_none__thr_f1,none,f1,0.4300000000000001,0.8509210526315789,0.7781456953642384,0.780327868852459,0.556369217276913
stacking_combo_logreg__cal_none__thr_kappa,none,kappa,0.4300000000000001,0.8509210526315789,0.7781456953642384,0.780327868852459,0.556369217276913
stacking_combo_logreg__cal_isotonic__thr_f1,isotonic,f1,0.35000000000000003,0.8506578947368422,0.7781456953642384,0.780327868852459,0.556369217276913
stacking_combo_logreg__cal_isotonic__thr_kappa,isotonic,kappa,0.4400000000000001,0.8506578947368422,0.7450331125827815,0.6956521739130435,0.4889904627961148
stacking_combo_logreg__cal_sigmoid__thr_f1,sigmoid,f1,0.4300000000000001,0.8509210526315789,0.7781456953642384,0.780327868852459,0.556369217276913
stacking_combo_logreg__cal_sigmoid__thr_kappa,sigmoid,kappa,0.4300000000000001,0.8509210526315789,0.7781456953642384,0.780327868852459,0.556369217276913
