threshold,f1,kappa
0.3,0.7323943661971831,0.38040837205336975
0.31,0.7344632768361582,0.3869042544121408
0.32,0.7329545454545454,0.3868519781718963
0.33,0.7413793103448276,0.412843254306669
0.34,0.7441860465116279,0.42579324462640733
0.35000000000000003,0.7485380116959064,0.4387955301543973
0.36000000000000004,0.7492625368731564,0.4452501812907904
0.37000000000000005,0.7537091988130564,0.4582569003028881
0.38000000000000006,0.7559523809523809,0.4647610921501706
0.39000000000000007,0.7582089552238805,0.4712658389863048
0.4000000000000001,0.7673716012084593,0.4972903776402816
0.4100000000000001,0.7682926829268293,0.50375554796859
0.4200000000000001,0.7701863354037267,0.5166908563134978
0.4300000000000001,0.7735849056603774,0.5296729570489283
0.4400000000000001,0.7784810126582279,0.5426985482493596
0.4500000000000001,0.7741935483870968,0.5425813615785426
0.46000000000000013,0.762214983713355,0.5229165776771603
0.47000000000000014,0.7672131147540984,0.5359477124183006
0.48000000000000015,0.7631578947368421,0.5293916609706083
0.49000000000000016,0.7682119205298014,0.5424250192258395
0.5000000000000002,0.7692307692307693,0.5489039866683758
