variant,calibration,threshold_objective,threshold,external_auroc,external_accuracy,external_f1,external_kappa
concat_r2_desc_logreg__cal_none__thr_f1,none,f1,0.4400000000000001,0.7545175438596492,0.695364238410596,0.7032258064516129,0.3909688733011837
concat_r2_desc_logreg__cal_none__thr_kappa,none,kappa,0.4400000000000001,0.7545175438596492,0.695364238410596,0.7032258064516129,0.3909688733011837
concat_r2_desc_logreg__cal_isotonic__thr_f1,isotonic,f1,0.31,0.7445394736842107,0.6986754966887417,0.707395498392283,0.39761518565604315
concat_r2_desc_logreg__cal_isotonic__thr_kappa,isotonic,kappa,0.49000000000000016,0.7445394736842107,0.6887417218543046,0.6384615384615384,0.3763620386643234
concat_r2_desc_logreg__cal_sigmoid__thr_f1,sigmoid,f1,0.4400000000000001,0.7545175438596492,0.695364238410596,0.7032258064516129,0.3909688733011837
concat_r2_desc_logreg__cal_sigmoid__thr_kappa,sigmoid,kappa,0.5000000000000002,0.7545175438596492,0.7086092715231788,0.6986301369863014,0.41698841698841704
