threshold,f1,kappa
0.3,0.7650602409638554,0.4907834101382489
0.31,0.7673716012084593,0.4972903776402816
0.32,0.7720364741641338,0.5103059787479196
0.33,0.7682926829268293,0.50375554796859
0.34,0.7682926829268293,0.50375554796859
0.35000000000000003,0.7716049382716049,0.5167321154174492
0.36000000000000004,0.7739938080495357,0.5232424126008453
0.37000000000000005,0.7701863354037267,0.5166908563134978
0.38000000000000006,0.7725856697819314,0.5232017075773746
0.39000000000000007,0.775,0.5297131147540983
0.4000000000000001,0.7711598746081505,0.5231609956026129
0.4100000000000001,0.7735849056603774,0.5296729570489283
0.4200000000000001,0.7735849056603774,0.5296729570489283
0.4300000000000001,0.7760252365930599,0.5361854745741002
0.4400000000000001,0.7784810126582279,0.5426985482493596
0.4500000000000001,0.7784810126582279,0.5426985482493596
0.46000000000000013,0.7746031746031746,0.5361458644690209
0.47000000000000014,0.7756410256410257,0.542620430474889
0.48000000000000015,0.7741935483870968,0.5425813615785426
0.49000000000000016,0.7662337662337663,0.5294720656073808
0.5000000000000002,0.7662337662337663,0.5294720656073808
