source_csv,model_group,copied_to
noteworthy_models/nephrotox_fixed/results/cv_metrics.csv,nephrotox_fixed,reports/model_scores/source_csvs/nephrotox_fixed/noteworthy_models__nephrotox_fixed__results__cv_metrics.csv
noteworthy_models/nephrotox_fixed/results/cv_summary.csv,nephrotox_fixed,reports/model_scores/source_csvs/nephrotox_fixed/noteworthy_models__nephrotox_fixed__results__cv_summary.csv
noteworthy_models/nephrotox_fixed/results/external_metrics.csv,nephrotox_fixed,reports/model_scores/source_csvs/nephrotox_fixed/noteworthy_models__nephrotox_fixed__results__external_metrics.csv
noteworthy_models/nephrotox_project_plus/outputs_compare/leaderboard.csv,nephrotox_project_plus,reports/model_scores/source_csvs/nephrotox_project_plus/noteworthy_models__nephrotox_project_plus__outputs_compare__leaderboard.csv
