metric,mean,std
auc,0.9809016887342026,0.005710232991793009
acc,0.923383692274724,0.010240204487857776
se,0.9462848297213622,0.022236674991844407
f1,0.9250247179554429,0.010891139137666135
kappa,0.8467544679240101,0.0204727236957969
specificity,0.9003955968293249,0.011994255939993469
mcc,0.8480149893533333,0.02094793425632352
