model_name,accuracy,recall,f1,kappa,auroc,specificity,mcc
chemberta,0.6788079470198676,0.56,0.6339622641509434,0.3566000439270811,0.7278508771929824,0.7960526315789473,0.36661640971143095
gin_hybrid,0.6589403973509934,0.58,0.628158844765343,0.31716204943583437,0.6840789473684211,0.7368421052631579,0.32091456543628355
gin,0.6059602649006622,0.4666666666666667,0.5405405405405406,0.21046618919987703,0.6421052631578948,0.743421052631579,0.2187138001136548
