split,auc,acc,se,f1,kappa,specificity,mcc,auprc
all,0.734978354978355,0.7006578947368421,0.5266666666666666,0.6345381526104418,0.3985563962083659,0.87012987012422,0.4233302812698527,0.7805245535981994
high_confidence,0.7594292803970223,0.7322834645669292,0.5692307692307692,0.6851851851851852,0.4686192468619247,0.9032258064443288,0.49904596692478276,0.809695281590884
