fold,auc,acc,se,f1,kappa,specificity,mcc
1,0.9735571788628306,0.9117647058823529,0.934640522875817,0.9137380191693291,0.8235294117647058,0.8888888888830793,0.8243926780795865
2,0.98560382758768,0.9281045751633987,0.9607843137254902,0.930379746835443,0.8562091503267975,0.8954248365954548,0.8580438339046541
3,0.9745442036463708,0.9114754098360656,0.9078947368421053,0.9108910891089109,0.8229451097589817,0.9150326797325815,0.8229628044590118
4,0.9836601307189542,0.9278688524590164,0.9673202614379085,0.9308176100628931,0.8556989247311828,0.888157894730999,0.8583619232097296
5,0.9871431028551771,0.9377049180327869,0.9607843137254902,0.939297124600639,0.875389743038383,0.9144736842045101,0.8763137071136844
