variant,family,calibration,threshold_objective,threshold,coverage,selection_mode,internal_auroc_mean,internal_auroc_std,internal_accuracy_mean,internal_accuracy_std,internal_f1_mean,internal_f1_std,internal_kappa_mean,internal_kappa_std,internal_recall_mean,internal_recall_std,internal_specificity_mean,internal_specificity_std,external_auroc,external_accuracy,external_f1,external_kappa,external_recall,external_specificity
meta_lgbm_knn_lgbm_descriptor_fp_v4__cal_sigmoid__thr_kappa,meta_lightgbm,sigmoid,kappa,0.3,1.0,internal_only,0.9079374572795625,0.00731031446715423,0.8169934640522876,0.009243225897863333,0.8192414970234378,0.012422424614325947,0.6339422389153112,0.018400350964915616,0.8246753246753247,0.027549614851423862,0.8092105263157895,0.009304036594559787,0.7920394736842105,0.6986754966887417,0.7016393442622951,0.3974566980925236,0.7133333333333334,0.6842105263157895
meta_lgbm_knn_lgbm_descriptor_fp_v4__cal_isotonic__thr_f1,meta_lightgbm,isotonic,f1,0.3,1.0,internal_only,0.86338004101162,0.010512353035411814,0.8169934640522876,0.018486451795726746,0.8179824561403509,0.021709418720639605,0.633975748865492,0.03688602846598963,0.8181818181818181,0.036732819801898506,0.8157894736842105,0.0,0.7303947368421053,0.695364238410596,0.695364238410596,0.39075519691255156,0.7,0.6907894736842105
meta_lgbm_knn_lgbm_descriptor_fp_v4__cal_isotonic__thr_kappa,meta_lightgbm,isotonic,kappa,0.3,1.0,internal_only,0.86338004101162,0.010512353035411814,0.8169934640522876,0.018486451795726746,0.8179824561403509,0.021709418720639605,0.633975748865492,0.03688602846598963,0.8181818181818181,0.036732819801898506,0.8157894736842105,0.0,0.7303947368421053,0.695364238410596,0.695364238410596,0.39075519691255156,0.7,0.6907894736842105
blend_challenger_fpdesc_lgbm_50_50__cal_none__thr_f1,blend,none,f1,0.4400000000000001,1.0,internal_only,0.9184466848940533,0.004531186653194832,0.8169934640522876,0.0,0.8179054054054054,0.010033271895214463,0.6339711956717733,0.00026536717325708915,0.8181818181818181,0.0550992297028478,0.8157894736842105,0.05582421956735903,0.8315350877192982,0.7384105960264901,0.7523510971786834,0.47723388404399836,0.8,0.6776315789473685
blend_challenger_fpdesc_lgbm_50_50__cal_none__thr_kappa,blend,none,kappa,0.4400000000000001,1.0,internal_only,0.9184466848940533,0.004531186653194832,0.8169934640522876,0.0,0.8179054054054054,0.010033271895214463,0.6339711956717733,0.00026536717325708915,0.8181818181818181,0.0550992297028478,0.8157894736842105,0.05582421956735903,0.8315350877192982,0.7384105960264901,0.7523510971786834,0.47723388404399836,0.8,0.6776315789473685
blend_challenger_fpdesc_lgbm_50_50__cal_sigmoid__thr_f1,blend,sigmoid,f1,0.4400000000000001,1.0,internal_only,0.9184466848940533,0.004531186653194832,0.8169934640522876,0.0,0.8179054054054054,0.010033271895214463,0.6339711956717733,0.00026536717325708915,0.8181818181818181,0.0550992297028478,0.8157894736842105,0.05582421956735903,0.8315350877192982,0.7384105960264901,0.7523510971786834,0.47723388404399836,0.8,0.6776315789473685
blend_challenger_fpdesc_lgbm_50_50__cal_sigmoid__thr_kappa,blend,sigmoid,kappa,0.4400000000000001,1.0,internal_only,0.9184466848940533,0.004531186653194832,0.8169934640522876,0.0,0.8179054054054054,0.010033271895214463,0.6339711956717733,0.00026536717325708915,0.8181818181818181,0.0550992297028478,0.8157894736842105,0.05582421956735903,0.8315350877192982,0.7384105960264901,0.7523510971786834,0.47723388404399836,0.8,0.6776315789473685
blend_challenger_fpdesc_lgbm_50_50__cal_isotonic__thr_f1,blend,isotonic,f1,0.31,1.0,internal_only,0.9129357484620642,0.007008235356941184,0.8169934640522876,0.0,0.8179054054054054,0.010033271895214463,0.6339711956717733,0.00026536717325708915,0.8181818181818181,0.0550992297028478,0.8157894736842105,0.05582421956735903,0.8304166666666666,0.7384105960264901,0.7523510971786834,0.47723388404399836,0.8,0.6776315789473685
blend_challenger_fpdesc_lgbm_50_50__cal_isotonic__thr_kappa,blend,isotonic,kappa,0.4200000000000001,1.0,internal_only,0.9129357484620642,0.007008235356941184,0.8300653594771241,0.018486451795726746,0.8121890547263682,0.0299025255725655,0.6605623204280664,0.036722345186109034,0.7337662337662338,0.06428243465332252,0.9276315789473684,0.027912109783679435,0.8304166666666666,0.7350993377483444,0.708029197080292,0.4695705629226311,0.6466666666666666,0.8223684210526315
blend_challenger_desc_logreg_50_50__cal_none__thr_f1,blend,none,f1,0.5300000000000002,1.0,internal_only,0.8799982911825017,0.02241426997780333,0.803921568627451,0.03697290359145349,0.7789529914529915,0.0572635619807054,0.6084262316217276,0.07351099032804062,0.6948051948051948,0.10101525445522111,0.9144736842105263,0.027912109783679515,0.803377192982456,0.7615894039735099,0.7464788732394366,0.5228230337078652,0.7066666666666667,0.8157894736842105
