threshold,f1,kappa
0.3,0.7844311377245509,0.529994026794095
0.31,0.7891566265060241,0.543010752688172
0.32,0.793939393939394,0.556029700435265
0.33,0.7963525835866262,0.5625400076814748
0.34,0.7987804878048781,0.5690508706043018
0.35000000000000003,0.7938461538461539,0.5624653207563277
0.36000000000000004,0.7863777089783281,0.549366116019977
0.37000000000000005,0.782608695652174,0.5428156748911466
0.38000000000000006,0.7875,0.5558401639344261
0.39000000000000007,0.7924528301886793,0.568866877294851
0.4000000000000001,0.7974683544303798,0.5818958155422715
0.4100000000000001,0.7974683544303798,0.5818958155422715
0.4200000000000001,0.7936507936507936,0.5753448054998078
0.4300000000000001,0.7987220447284346,0.5883759661784174
0.4400000000000001,0.8025889967637541,0.6013753043181139
0.4500000000000001,0.8078175895765473,0.6144120285335953
0.46000000000000013,0.8065573770491803,0.6143790849673203
0.47000000000000014,0.8026315789473685,0.6078263841421736
0.48000000000000015,0.8013245033112583,0.6077928736221481
0.49000000000000016,0.8013245033112583,0.6077928736221481
0.5000000000000002,0.8,0.6077593573748077
