threshold,f1,kappa
0.3,0.7633136094674556,0.47786025083184025
0.31,0.7724550898203593,0.5038825838382115
0.32,0.7724550898203593,0.5038825838382115
0.33,0.7724550898203593,0.5038825838382115
0.34,0.7804878048780488,0.5298736770228747
0.35000000000000003,0.7815384615384615,0.5363438473686457
0.36000000000000004,0.778816199376947,0.536264674493063
0.37000000000000005,0.7774294670846394,0.53622507791487
0.38000000000000006,0.779874213836478,0.5427375971309025
0.39000000000000007,0.7848101265822784,0.5557643040136635
0.4000000000000001,0.7873015873015873,0.5622784918228789
0.4100000000000001,0.792332268370607,0.5753085365332877
0.4200000000000001,0.7909967845659164,0.575272261370916
0.4300000000000001,0.7896440129449838,0.575235980011105
0.4400000000000001,0.7896440129449838,0.575235980011105
0.4500000000000001,0.7857142857142857,0.5686827268067658
0.46000000000000013,0.7934426229508197,0.5882352941176471
0.47000000000000014,0.8013245033112583,0.6077928736221481
0.48000000000000015,0.8039867109634552,0.6143131809442426
0.49000000000000016,0.8039867109634552,0.6143131809442426
0.5000000000000002,0.8040540540540541,0.6207692307692307
