variant,calibration,threshold_objective,threshold,external_auroc,external_accuracy,external_f1,external_kappa
blend_inverse_hybrid_logreg__cal_none__thr_f1,none,f1,0.5000000000000002,0.8588157894736843,0.7781456953642384,0.7681660899653979,0.5560577471587169
blend_inverse_hybrid_logreg__cal_none__thr_kappa,none,kappa,0.5000000000000002,0.8588157894736843,0.7781456953642384,0.7681660899653979,0.5560577471587169
blend_inverse_hybrid_logreg__cal_isotonic__thr_f1,isotonic,f1,0.3,0.8528947368421052,0.7715231788079471,0.7453874538745388,0.5424443370954284
blend_inverse_hybrid_logreg__cal_isotonic__thr_kappa,isotonic,kappa,0.3,0.8528947368421052,0.7715231788079471,0.7453874538745388,0.5424443370954284
blend_inverse_hybrid_logreg__cal_sigmoid__thr_f1,sigmoid,f1,0.5000000000000002,0.8588157894736843,0.7682119205298014,0.7535211267605634,0.5360779494382022
blend_inverse_hybrid_logreg__cal_sigmoid__thr_kappa,sigmoid,kappa,0.5000000000000002,0.8588157894736843,0.7682119205298014,0.7535211267605634,0.5360779494382022
