variant,calibration,threshold_objective,threshold,external_auroc,external_accuracy,external_f1,external_kappa
lgbm_morgan_r2_only__cal_none__thr_f1,none,f1,0.39000000000000007,0.8228947368421053,0.7615894039735099,0.7692307692307693,0.5234087322461862
lgbm_morgan_r2_only__cal_none__thr_kappa,none,kappa,0.39000000000000007,0.8228947368421053,0.7615894039735099,0.7692307692307693,0.5234087322461862
lgbm_morgan_r2_only__cal_isotonic__thr_f1,isotonic,f1,0.37000000000000005,0.8088377192982455,0.7350993377483444,0.7101449275362319,0.4696171408500176
lgbm_morgan_r2_only__cal_isotonic__thr_kappa,isotonic,kappa,0.48000000000000015,0.8088377192982455,0.7450331125827815,0.7003891050583657,0.4890802829898493
lgbm_morgan_r2_only__cal_sigmoid__thr_f1,sigmoid,f1,0.33,0.8228947368421053,0.7317880794701986,0.7582089552238805,0.46437486314867527
lgbm_morgan_r2_only__cal_sigmoid__thr_kappa,sigmoid,kappa,0.5000000000000002,0.8228947368421053,0.7615894039735099,0.7534246575342466,0.522990522990523
