threshold,f1,kappa
0.3,0.804953560371517,0.5885516711486747
0.31,0.804953560371517,0.5885516711486747
0.32,0.804953560371517,0.5885516711486747
0.33,0.804953560371517,0.5885516711486747
0.34,0.804953560371517,0.5885516711486747
0.35000000000000003,0.804953560371517,0.5885516711486747
0.36000000000000004,0.804953560371517,0.5885516711486747
0.37000000000000005,0.8156028368794326,0.659796459420166
0.38000000000000006,0.8156028368794326,0.659796459420166
0.39000000000000007,0.8156028368794326,0.659796459420166
0.4000000000000001,0.8156028368794326,0.659796459420166
0.4100000000000001,0.8156028368794326,0.659796459420166
0.4200000000000001,0.8156028368794326,0.659796459420166
0.4300000000000001,0.8156028368794326,0.659796459420166
0.4400000000000001,0.8156028368794326,0.659796459420166
0.4500000000000001,0.8156028368794326,0.659796459420166
0.46000000000000013,0.8156028368794326,0.659796459420166
0.47000000000000014,0.8156028368794326,0.659796459420166
0.48000000000000015,0.8075471698113208,0.6660961102315033
0.49000000000000016,0.8075471698113208,0.6660961102315033
0.5000000000000002,0.8075471698113208,0.6660961102315033
