threshold,f1,kappa
0.3,0.7869822485207101,0.5300742257486563
0.31,0.7904191616766467,0.5430497482720369
0.32,0.793939393939394,0.556029700435265
0.33,0.7889908256880734,0.5494430455379625
0.34,0.7914110429447853,0.5559539052496798
0.35000000000000003,0.7962962962962963,0.5689772921290763
0.36000000000000004,0.7987616099071208,0.5754898194391087
0.37000000000000005,0.7950310559006211,0.5689404934687954
0.38000000000000006,0.79375,0.5689036885245902
0.39000000000000007,0.7924528301886793,0.568866877294851
0.4000000000000001,0.7834394904458599,0.5557263643351269
0.4100000000000001,0.7859424920127795,0.5622411068881581
0.4200000000000001,0.7987012987012987,0.5948231676063558
0.4300000000000001,0.8065573770491803,0.6143790849673203
0.4400000000000001,0.8013468013468014,0.6142472543908379
0.4500000000000001,0.8095238095238095,0.6338148559705957
0.46000000000000013,0.815068493150685,0.6468627115746282
0.47000000000000014,0.8206896551724138,0.6599127981533727
0.48000000000000015,0.8235294117647058,0.6664386782370795
0.49000000000000016,0.8222996515679443,0.666410157752982
0.5000000000000002,0.8181818181818182,0.6598546387345019
