variant,calibration,threshold_objective,threshold,external_auroc,external_accuracy,external_f1,external_kappa
knn_mean_r3__cal_none__thr_f1,none,f1,0.5000000000000002,0.8521929824561404,0.7582781456953642,0.7542087542087542,0.5164714655437119
knn_mean_r3__cal_none__thr_kappa,none,kappa,0.5000000000000002,0.8521929824561404,0.7582781456953642,0.7542087542087542,0.5164714655437119
knn_mean_r3__cal_isotonic__thr_f1,isotonic,f1,0.4000000000000001,0.8491666666666666,0.7516556291390728,0.7368421052631579,0.5029624753127058
knn_mean_r3__cal_isotonic__thr_kappa,isotonic,kappa,0.48000000000000015,0.8491666666666666,0.7450331125827815,0.7003891050583657,0.4890802829898493
knn_mean_r3__cal_sigmoid__thr_f1,sigmoid,f1,0.4400000000000001,0.8521929824561404,0.7483443708609272,0.7304964539007093,0.49626898428583976
knn_mean_r3__cal_sigmoid__thr_kappa,sigmoid,kappa,0.4400000000000001,0.8521929824561404,0.7483443708609272,0.7304964539007093,0.49626898428583976
