threshold,f1,kappa
0.3,0.7648725212464589,0.4586264228162169
0.31,0.7723342939481268,0.4845848791096329
0.32,0.7813411078717201,0.510598370793705
0.33,0.7787610619469026,0.5105148658448151
0.34,0.7831325301204819,0.5299539170506913
0.35000000000000003,0.7926829268292683,0.5559918060771594
0.36000000000000004,0.7925696594427245,0.5624279677295428
0.37000000000000005,0.7899686520376176,0.5623532425393843
0.38000000000000006,0.7873015873015873,0.5622784918228789
0.39000000000000007,0.7884615384615384,0.5687564058763239
0.4000000000000001,0.7987012987012987,0.5948231676063558
0.4100000000000001,0.803921568627451,0.607859888936352
0.4200000000000001,0.8133333333333334,0.6339087335498206
0.4300000000000001,0.8108108108108109,0.6338461538461538
0.4400000000000001,0.8163265306122449,0.6468928968287888
0.4500000000000001,0.8082191780821918,0.6337835527440588
0.46000000000000013,0.8096885813148789,0.6402770059419485
0.47000000000000014,0.8083623693379791,0.6402462485571374
0.48000000000000015,0.8028169014084507,0.633658286300667
0.49000000000000016,0.7971014492753623,0.6335329341317366
0.5000000000000002,0.8014705882352942,0.6465605749486654
