threshold,f1,kappa
0.3,0.7362924281984334,0.3420615659726657
0.31,0.7427055702917772,0.36795707167497127
0.32,0.7466666666666667,0.3809361557136164
0.33,0.7526881720430108,0.40040892826716645
0.34,0.7567567567567568,0.4133935417909176
0.35000000000000003,0.7595628415300546,0.4263314870046868
0.36000000000000004,0.7555555555555555,0.4261847937265598
0.37000000000000005,0.7584269662921348,0.4391304347826087
0.38000000000000006,0.7648725212464589,0.4586264228162169
0.39000000000000007,0.7723342939481268,0.4845848791096329
0.4000000000000001,0.7790697674418605,0.5040941658137155
0.4100000000000001,0.7823529411764706,0.517061934823409
0.4200000000000001,0.7844311377245509,0.529994026794095
0.4300000000000001,0.7831325301204819,0.5299539170506913
0.4400000000000001,0.7889908256880734,0.5494430455379625
0.4500000000000001,0.7925696594427245,0.5624279677295428
0.46000000000000013,0.7899686520376176,0.5623532425393843
0.47000000000000014,0.7873015873015873,0.5622784918228789
0.48000000000000015,0.7834394904458599,0.5557263643351269
0.49000000000000016,0.7935483870967742,0.581788673443239
0.5000000000000002,0.7987012987012987,0.5948231676063558
