threshold,f1,kappa,balanced_accuracy
0.3,0.7724550898203593,0.5038825838382115,0.7522641831852359
0.31,0.7710843373493976,0.5038402457757296,0.7522214627477786
0.32,0.7804878048780488,0.5298736770228747,0.7652084757347914
0.33,0.7730061349693251,0.5167733674775927,0.7586295283663704
0.34,0.7730061349693251,0.5167733674775927,0.7586295283663704
0.35000000000000003,0.7739938080495357,0.5232424126008453,0.7618335611756664
0.36000000000000004,0.775,0.5297131147540983,0.7650375939849624
0.37000000000000005,0.7848101265822784,0.5557643040136635,0.7780246069719754
0.38000000000000006,0.7848101265822784,0.5557643040136635,0.7780246069719754
0.39000000000000007,0.7873015873015873,0.5622784918228789,0.7812713602187287
0.4000000000000001,0.7873015873015873,0.5622784918228789,0.7812713602187287
0.4100000000000001,0.7884615384615384,0.5687564058763239,0.7844753930280246
0.4200000000000001,0.7947882736156352,0.5882704711460425,0.7941729323308271
0.4300000000000001,0.7947882736156352,0.5882704711460425,0.7941729323308271
0.4400000000000001,0.7973856209150327,0.5947885519008971,0.7974196855775804
0.4500000000000001,0.7960526315789473,0.594753930280246,0.797376965140123
0.46000000000000013,0.8039867109634552,0.6143131809442426,0.8071172248803828
0.47000000000000014,0.8039867109634552,0.6143131809442426,0.8071172248803828
0.48000000000000015,0.8066666666666666,0.6208340454623142,0.810363978127136
0.49000000000000016,0.8120805369127517,0.633877446372105,0.8168574846206424
0.5000000000000002,0.8080808080808081,0.6273236186487756,0.813568010936432
0.5100000000000002,0.8095238095238095,0.6338148559705957,0.816772043745728
0.5200000000000002,0.8054607508532423,0.6272599051160405,0.8134825700615174
0.5300000000000002,0.8068965517241379,0.6337522441651706,0.8166866028708134
0.5400000000000003,0.8096885813148789,0.6402770059419485,0.8199333561175666
0.5500000000000003,0.8083623693379791,0.6402462485571374,0.8198906356801094
