threshold,f1,kappa,balanced_accuracy
0.3,0.751412429378531,0.42603802540711055,0.713474025974026
0.31,0.76,0.452033768227168,0.726461038961039
0.32,0.764367816091954,0.4650349650349651,0.7329545454545454
0.33,0.7687861271676301,0.4780383795309169,0.739448051948052
0.34,0.7710144927536232,0.48454091858927884,0.7426948051948052
0.35000000000000003,0.7777777777777778,0.5040518638573743,0.752435064935065
0.36000000000000004,0.771513353115727,0.49741905208822146,0.7490601503759399
0.37000000000000005,0.7781155015197568,0.5233644859813085,0.7619617224880382
0.38000000000000006,0.7828746177370031,0.5363834236694976,0.7684552289815447
0.39000000000000007,0.7852760736196319,0.5428937259923174,0.771701982228298
0.4000000000000001,0.7763975155279503,0.5297532656023223,0.7650803144224196
0.4100000000000001,0.779874213836478,0.5427375971309025,0.7715311004784688
0.4200000000000001,0.7784810126582279,0.5426985482493596,0.7714883800410116
0.4300000000000001,0.7784810126582279,0.5426985482493596,0.7714883800410116
0.4400000000000001,0.7770700636942676,0.5426594926979247,0.7714456596035544
0.4500000000000001,0.7741935483870968,0.5425813615785426,0.7713602187286398
0.46000000000000013,0.7792207792207793,0.5556125064069708,0.7778537252221462
0.47000000000000014,0.780327868852459,0.5620915032679739,0.7810577580314423
0.48000000000000015,0.7828947368421053,0.5686090225563909,0.7843045112781954
0.49000000000000016,0.7892976588628763,0.5881297269580823,0.7940020505809979
0.5000000000000002,0.7891156462585034,0.5945807333960167,0.7971633629528367
0.5100000000000002,0.7903780068728522,0.6010686044026501,0.8003673957621326
0.5200000000000002,0.7986111111111112,0.6206395348837209,0.8101076555023923
0.5300000000000002,0.8013937282229965,0.627164293959215,0.8133544087491456
0.5400000000000003,0.8013937282229965,0.627164293959215,0.8133544087491456
0.5500000000000003,0.795774647887324,0.620574653668548,0.8100222146274778
