threshold,f1,kappa,balanced_accuracy
0.3,0.806060606060606,0.5821456004096612,0.7913961038961039
0.31,0.8048780487804879,0.5821099351314442,0.7913533834586466
0.32,0.808641975308642,0.5950998804848899,0.7978041695146958
0.33,0.8136645962732919,0.6081277213352685,0.8042976760082023
0.34,0.8125,0.608094262295082,0.804254955570745
0.35000000000000003,0.8087774294670846,0.6015454894761558,0.8009654818865346
0.36000000000000004,0.810126582278481,0.6080273270708796,0.8041695146958305
0.37000000000000005,0.8126984126984127,0.6145437465305948,0.8074162679425837
0.38000000000000006,0.8178913738019169,0.6275782551138063,0.8139097744360901
0.39000000000000007,0.8167202572347267,0.6275464445868033,0.813867053998633
0.4000000000000001,0.8181818181818182,0.6340338288057407,0.817071086807929
0.4100000000000001,0.8143322475570033,0.6274828072273717,0.8137816131237183
0.4200000000000001,0.8143322475570033,0.6274828072273717,0.8137816131237183
0.4300000000000001,0.8143322475570033,0.6274828072273717,0.8137816131237183
0.4400000000000001,0.8104575163398693,0.6209312259718069,0.8104921394395079
0.4500000000000001,0.8118811881188119,0.6274191481180843,0.8136961722488039
0.46000000000000013,0.8039867109634552,0.6143131809442426,0.8071172248803828
0.47000000000000014,0.8066666666666666,0.6208340454623142,0.810363978127136
0.48000000000000015,0.8108108108108109,0.6338461538461538,0.8168147641831852
0.49000000000000016,0.8135593220338984,0.6403692465489979,0.8200615174299385
0.5000000000000002,0.8095238095238095,0.6338148559705957,0.816772043745728
0.5100000000000002,0.8095238095238095,0.6338148559705957,0.816772043745728
0.5200000000000002,0.8095238095238095,0.6338148559705957,0.816772043745728
0.5300000000000002,0.8054607508532423,0.6272599051160405,0.8134825700615174
0.5400000000000003,0.8137931034482758,0.6468325211592716,0.8232228298017772
0.5500000000000003,0.8055555555555556,0.6337209302325582,0.8166438824333562
