threshold,f1,kappa,balanced_accuracy
0.3,0.7473118279569892,0.38737433975123536,0.6942498291182502
0.31,0.7637362637362637,0.439321629452872,0.7202238550922762
0.32,0.7611111111111111,0.43922604841459256,0.7201384142173616
0.33,0.7640449438202247,0.4521739130434783,0.7265892002734108
0.34,0.7670454545454546,0.4651261937244202,0.7330399863294601
0.35000000000000003,0.7679083094555874,0.4715814607939284,0.736244019138756
0.36000000000000004,0.764367816091954,0.4650349650349651,0.7329545454545454
0.37000000000000005,0.7594202898550725,0.4584417245937993,0.7296223513328777
0.38000000000000006,0.7588235294117647,0.46485241426377755,0.7327836637047164
0.39000000000000007,0.7633136094674556,0.47786025083184025,0.7392771701982228
0.4000000000000001,0.7701492537313432,0.49737616792525274,0.7490174299384826
0.4100000000000001,0.7771084337349398,0.5168970814132106,0.7587576896787422
0.4200000000000001,0.7734138972809668,0.5103477704288457,0.7554682159945317
0.4300000000000001,0.774390243902439,0.5168146124957322,0.7586722488038278
0.4400000000000001,0.7753846153846153,0.5232831106748048,0.7618762816131237
0.4500000000000001,0.7725856697819314,0.5232017075773746,0.7617908407382091
0.46000000000000013,0.7760252365930599,0.5361854745741002,0.7682416267942584
0.47000000000000014,0.7859424920127795,0.5622411068881581,0.7812286397812713
0.48000000000000015,0.7935483870967742,0.581788673443239,0.7909688995215312
0.49000000000000016,0.7896440129449838,0.575235980011105,0.7876794258373205
0.5000000000000002,0.7896440129449838,0.575235980011105,0.7876794258373205
0.5100000000000002,0.7868852459016393,0.5751633986928104,0.7875939849624061
0.5200000000000002,0.7892976588628763,0.5881297269580823,0.7940020505809979
0.5300000000000002,0.7919463087248322,0.5946500299119734,0.7972488038277512
0.5400000000000003,0.7986348122866894,0.6141813052955507,0.8069463431305537
0.5500000000000003,0.8,0.6206719671710695,0.8101503759398496
