threshold,f1,kappa,balanced_accuracy
0.3,0.6968085106382979,0.25715502555366265,0.628973000683527
0.31,0.6991869918699187,0.2764878796915605,0.6386278195488722
0.32,0.7068493150684931,0.30244151859900303,0.6516148325358851
0.33,0.6963788300835655,0.2892213271960107,0.6449504442925496
0.34,0.6873239436619718,0.27605609787288465,0.6383287764866712
0.35000000000000003,0.6892655367231638,0.28254753175888825,0.6415755297334245
0.36000000000000004,0.6971428571428572,0.3085188027628549,0.6545625427204375
0.37000000000000005,0.7052023121387283,0.334498933901919,0.6675495557074504
0.38000000000000006,0.7076023391812866,0.34743666297022946,0.6740003417634997
0.39000000000000007,0.7159763313609467,0.37343230099820834,0.6869873547505126
0.4000000000000001,0.7125748502994012,0.3733253690587933,0.6869019138755981
0.4100000000000001,0.7129909365558912,0.3797738425432047,0.690105946684894
0.4200000000000001,0.7134146341463414,0.38622396722430863,0.69330997949419
0.4300000000000001,0.7169811320754716,0.4120911963111604,0.7061688311688312
0.4400000000000001,0.7096774193548387,0.4118903220295549,0.7059979494190021
0.4500000000000001,0.7058823529411765,0.411789833404528,0.7059125085440875
0.46000000000000013,0.7128712871287128,0.4313239629170761,0.7156527682843472
0.47000000000000014,0.7070707070707071,0.4311781547797102,0.7155246069719754
0.48000000000000015,0.7006802721088435,0.4245662022395076,0.7121924128503077
0.49000000000000016,0.6962457337883959,0.4180023079882036,0.708902939166097
0.5000000000000002,0.6875,0.41133720930232553,0.705528024606972
0.5100000000000002,0.6853146853146853,0.4112868747327918,0.7054853041695147
0.5200000000000002,0.6925795053003534,0.43083764484542697,0.7152255639097744
0.5300000000000002,0.6925795053003534,0.43083764484542697,0.7152255639097744
0.5400000000000003,0.6762589928057554,0.4110854503464203,0.7053144224196857
0.5500000000000003,0.6739130434782609,0.41103507271171946,0.7052717019822283
