threshold,f1,kappa,balanced_accuracy
0.3,0.778816199376947,0.536264674493063,0.7683270676691729
0.31,0.78125,0.5427766393442623,0.7715738209159262
0.32,0.779874213836478,0.5427375971309025,0.7715311004784688
0.33,0.779874213836478,0.5427375971309025,0.7715311004784688
0.34,0.7823343848580442,0.5492506724734214,0.7747778537252221
0.35000000000000003,0.7823343848580442,0.5492506724734214,0.7747778537252221
0.36000000000000004,0.7823343848580442,0.5492506724734214,0.7747778537252221
0.37000000000000005,0.7848101265822784,0.5557643040136635,0.7780246069719754
0.38000000000000006,0.7873015873015873,0.5622784918228789,0.7812713602187287
0.39000000000000007,0.7898089171974523,0.568793235972329,0.784518113465482
0.4000000000000001,0.792332268370607,0.5753085365332877,0.7877648667122351
0.4100000000000001,0.792332268370607,0.5753085365332877,0.7877648667122351
0.4200000000000001,0.797427652733119,0.5883408071748879,0.7942583732057416
0.4300000000000001,0.8078175895765473,0.6144120285335953,0.8072453861927547
0.4400000000000001,0.8104575163398693,0.6209312259718069,0.8104921394395079
0.4500000000000001,0.8104575163398693,0.6209312259718069,0.8104921394395079
0.46000000000000013,0.8065573770491803,0.6143790849673203,0.8072026657552973
0.47000000000000014,0.8118811881188119,0.6274191481180843,0.8136961722488039
0.48000000000000015,0.8079470198675497,0.6208664445014098,0.8104066985645934
0.49000000000000016,0.8106312292358804,0.6273873104037598,0.8136534518113465
0.5000000000000002,0.8133333333333334,0.6339087335498206,0.8169002050580998
0.5100000000000002,0.8053691275167785,0.6208016408853945,0.8103212576896788
0.5200000000000002,0.8080808080808081,0.6273236186487756,0.813568010936432
0.5300000000000002,0.8108108108108109,0.6338461538461538,0.8168147641831852
0.5400000000000003,0.8067796610169492,0.627291764605325,0.8135252904989747
0.5500000000000003,0.8067796610169492,0.627291764605325,0.8135252904989747
