threshold,f1,kappa,balanced_accuracy
0.3,0.8061538461538461,0.5885867941440096,0.7945574162679425
0.31,0.8061538461538461,0.5885867941440096,0.7945574162679425
0.32,0.80625,0.595030737704918,0.7977187286397813
0.33,0.8113207547169812,0.6080607975407736,0.8042122351332878
0.34,0.8138801261829653,0.6145766619700269,0.807458988380041
0.35000000000000003,0.8164556962025317,0.6210930828351836,0.8107057416267942
0.36000000000000004,0.819047619047619,0.6276100602075239,0.8139524948735475
0.37000000000000005,0.8205128205128205,0.6340963443799111,0.8171565276828434
0.38000000000000006,0.8231511254019293,0.6406149903907752,0.8204032809295967
0.39000000000000007,0.8231511254019293,0.6406149903907752,0.8204032809295967
0.4000000000000001,0.8258064516129032,0.647134193217733,0.82365003417635
0.4100000000000001,0.8246753246753247,0.6471040492055357,0.8236073137388926
0.4200000000000001,0.8273615635179153,0.6536243646149247,0.8268540669856459
0.4300000000000001,0.8273615635179153,0.6536243646149247,0.8268540669856459
0.4400000000000001,0.8262295081967214,0.6535947712418301,0.8268113465481887
0.4500000000000001,0.8223684210526315,0.6470437457279563,0.8235218728639782
0.46000000000000013,0.8223684210526315,0.6470437457279563,0.8235218728639782
0.47000000000000014,0.8250825082508251,0.6535651728115521,0.8267686261107314
0.48000000000000015,0.82,0.6469834216373269,0.8234364319890636
0.49000000000000016,0.82,0.6469834216373269,0.8234364319890636
0.5000000000000002,0.825503355704698,0.6600290573455261,0.82992993848257
0.5100000000000002,0.8203389830508474,0.6534467284926706,0.8265977443609023
0.5200000000000002,0.8231292517006803,0.6599709376869818,0.8298444976076556
0.5300000000000002,0.8191126279863481,0.6534171047570201,0.8265550239234449
0.5400000000000003,0.8194444444444444,0.6598837209302326,0.8297163362952836
0.5500000000000003,0.8251748251748252,0.6729371526293287,0.8362098427887901
