variant,calibration,threshold_objective,threshold,external_auroc,external_accuracy,external_f1,external_kappa
hybrid_knn_prob_logreg__cal_none__thr_f1,none,f1,0.49000000000000016,0.8586842105263158,0.7748344370860927,0.7638888888888888,0.5494119712129191
hybrid_knn_prob_logreg__cal_none__thr_kappa,none,kappa,0.49000000000000016,0.8586842105263158,0.7748344370860927,0.7638888888888888,0.5494119712129191
hybrid_knn_prob_logreg__cal_isotonic__thr_f1,isotonic,f1,0.3,0.8460964912280702,0.7649006622516556,0.73992673992674,0.5292232029157335
hybrid_knn_prob_logreg__cal_isotonic__thr_kappa,isotonic,kappa,0.3,0.8460964912280702,0.7649006622516556,0.73992673992674,0.5292232029157335
hybrid_knn_prob_logreg__cal_sigmoid__thr_f1,sigmoid,f1,0.49000000000000016,0.8586842105263158,0.7715231788079471,0.7612456747404844,0.5428057396112159
hybrid_knn_prob_logreg__cal_sigmoid__thr_kappa,sigmoid,kappa,0.49000000000000016,0.8586842105263158,0.7715231788079471,0.7612456747404844,0.5428057396112159
