,scaffold,frequency
141,c1ncc2ncn(C3CCCO3)c2n1,5
142,O=C1Cc2ccccc2Nc2ccccc21,1
143,c1ccc(-c2cnc3ncncc3n2)cc1,1
144,O=S(=O)(Nc1ccon1)c1ccccc1,1
145,c1ccc(C2OCCNCc3ccccc32)cc1,1
146,O=c1[nH]c(=O)c2[nH]cnc2[nH]1,2
147,c1ccc(-c2cscn2)cc1,1
148,O=c1[nH]cnc2[nH]cnc12,4
149,O=C(c1ccccc1)c1ccc2n1CCC2,1
150,[CH](Oc1ccccc1)c1ccccc1,1
151,O=C(c1ccccc1)c1ccc[nH]1,1
152,c1ccc2c(c1)C[C]1NCCC23CCCC[C]13,2
153,O=C(Oc1ccccc1)c1ccccc1,1
154,[CH]1CCc2ccc3c(c21)CCO3,1
155,c1ccc2ncccc2c1,5
156,O=C(c1ccccc1)c1cccs1,1
157,O=c1cn[nH]c2cc3c(cc12)OCO3,1
158,C=C1[CH][CH]C[C]1n1cnc2c(=O)[nH]cnc21,1
159,O=c1ncccn1[C]1C[CH][CH]O1,1
160,C=C1c2ccccc2CCc2ccccc21,2
161,C1=Cc2ccccc2Cc2ccccc21,1
162,c1ccc(CN2CCc3sccc3C2)cc1,1
163,c1ccc2c(c1)Cc1ccccc1N1CCNCC21,1
164,[CH]1[CH][CH]O[CH][CH]1,2
165,O=C1[CH][CH]CC(NC2CCCCC2)=C1,1
166,c1ncc(C[n+]2ccsc2)cn1,1
167,c1ccc(C(c2ccccc2)N2CCNCC2)cc1,2
168,c1ccc2c(c1)CCc1ccccc1N2,3
169,[CH]1[CH]O[C](n2cnc3cncnc32)[CH]1,4
170,c1ccc2c(c1)C[C]1NCCc3cccc-2c31,1
171,c1ccc2c(c1)CC1NCCc3cccc-2c31,1
172,O=C1CN([CH]CN2CC(=O)NC(=O)C2)CC(=O)N1,1
173,[CH]1[CH]O[C](n2cnc3c2N=CNC[CH]3)C1,1
174,C1=NCCc2ncn(C3CCCO3)c2N1,1
175,O=C(NCCN1CCOCC1)c1ccccc1,1
176,O=C(C=Cc1ccccc1)NC1CC1,1
177,c1ncn(Cc2ccc3[nH]ccc3c2)n1,1
