representation,accuracy,precision,recall,f1,auroc,pr_auc,notes
PCA,0.8185985592665357,0.8377253814147018,0.7905759162303665,0.8134680134680135,0.896090796182059,0.9146151007570557,generated_internal_cv_estimate_5fold
Autoencoder,0.7969875573018992,0.8309037900874635,0.7460732984293194,0.7862068965517242,0.8827513329170469,0.9018899456851556,generated_internal_cv_estimate_5fold
