representation,auroc,accuracy,f1,kappa
PCA,0.8123245614035087,0.7384105960264901,0.7228070175438597,0.47645380732938336
Autoencoder,0.8259649122807017,0.7450331125827815,0.7353951890034365,0.48984248168136546
