,scaffold,frequency
126,CC1C[CH]C(C2CCCCC2)CC1,1
127,CC1CCC(C2CCCCC2)C2CCCCC2C1,10
128,C1CCC(C(CC2CCCC2)C2CCCCC2)CC1,1
129,CC(CCC1CCCCC1)C1CCCCC1,4
130,CC1C2CCCCC2C(C)C2CCCCC12,3
131,CC(CC1C[C]2CC[C](C2)C1)C1CCC2CCCCC21,1
132,C1CCC2CC3CCCCC3CC2C1,5
133,CC1CC[C]2[C]3CCCC24[C]1CC1CCCC(C3)C14,2
134,[CH]1CC[C]2[C]3CCCC24[C]1CC1CCCC(C3)C14,3
135,CC1CCC2C3CCCC24C1CC1CCCC(C3)C14,1
136,[CH]1[C]2CCCC1C1CCCCC1C2,1
137,C1CCC2C(C1)CC1CCCC2C1,1
138,[CH]1[CH]C[C](C2CCC3CCCCC32)C1,1
139,C1CCC2C(C1)CC1CCCCC1C1CCCC21,1
140,CC1CC(C)C2CCCCC12,2
141,CC1CCC(C)C1C1CCCCC1,2
142,C1CC2CC3CC4CCC5CCCC(C3CC2C1)C54,1
143,CC1C2CCCCC2CC2C1CCC1C3CCCCC3CC12,1
144,C1CCC(C2C3CCCCC3CCC3CCCCC32)CC1,3
145,C1CCC(CCCCCC2CCCC3CCCCC23)CC1,2
146,CC1[CH][CH]CC(CCC2CCCCC2)C1,1
147,[CH]1[CH]C2CC[C]3[C](CCC4CCCCC34)[C]2C1,1
148,CC(CC1CCCCC1)CC1C[C]2CC[C](C2)C1,1
149,CC(CC1CCCCC1)CC1CC2CCC(C2)C1,1
150,CC1CCCCC1CC1CCCC1,1
151,C1CCC(C2CCCC2C2CCCCC2)CC1,4
152,CC1C(CC2CCCC2)CCC2CC3CCCCC3C21,2
153,CC1CC2CC1C1C3CC3C3(CC3)C1C2,1
154,CC1CCC(C)CC1,1
155,C1CCC(C2CCC3CCCC3C3CCCCC23)CC1,4
156,CC(C1CCCCC1)C1CCC2CCCC2C1,1
157,C1CCC(C2(C3CCCCC3)CCCC2)CC1,1
158,C1CCC(C2C3CCCCC3CCC3CCCC32)CC1,1
159,C(CCCC1CCCCC1)CCCC1CCCCC1,1
160,[CH]1CC2CCCCC2CC2CCCCC12,1
161,CC1CCC2[C]3CCC4[C](CCC4C)[C]3CC(C)C2C1,1
162,CC1C([C]2CC3CCC2CC3)C[C]2CCCC3CCCC1C23,1
163,CC1C(C2CC3CCC2CC3)CC2CCCC3CCCC1C32,1
164,CC1C2CCCCC2CC2CCCCC21,1
165,CC1CC[C]2[C]3CCC4CCC[C]4[C]3CCC2C1,2
166,C1CCC(CC2CCCCC2C2CCCCC2)CC1,1
167,C1CCC(C2CCCCC3CCCCC32)CC1,2
168,CC1CC2C1CC(CC1CCCC1)C2(C)C,1
169,CC1CC[C]2[C]3CCC4CC(C)CCC4[C]3CCC2C1,1
170,CC1CC(C)C(C2CCCCC2)C2CCCCC2C1,1
171,CC(C)(CCC1CCCCC1)C1CCCCC1,1
172,CC1CCC2[C]3CCCC24[C]1CC1CCCC(C3)C14,3
173,C(CCCC1CCCCC1)CCC1CCCCC1,5
174,C1CC2CC3CCCC45C(CCCC34)CC(C1)C25,1
175,CC1CCC2CCCCC12,1
176,C1CCC(CCC(C2CCCCC2)C2CCCCC2)CC1,2
177,C1CCC(C2CC3CCCCC3C2)CC1,2
178,CC1CC2CCCC3C(C)CC4CCCC1C4C23,1
179,CC(C)(CC[C]1CC[CH]CC1)C1CCCCC1,1
180,CC1CCC(CC(C)C2CC2)C1,1
181,CC1CCC2[C]3CCC4CCC[C]4[C]3CCC2C1,5
182,CC(CCC1CCCCC1)CCC1CCCCC1,1
183,C1CCC(C2CCC(C3CCCCC3)CC2)CC1,1
184,CC1CCC2CCCC2C2CCCCC12,1
185,CC([CH]C1CCCCC1)CC1C[C]2C[C](C1)[C]1C[C]21,1
186,CC(CC1CCCCC1)CC1CC2CC(C1)C1CC21,3
187,CC(CC1CC2CCC(C2)C1)C1CCCCC1,1
188,CC(CCC12CC3CC(CC(C3)C1)C2)C1[CH]CCC1,1
189,CC(CCC12CC3CC(CC(C3)C1)C2)C1CCCC1,1
190,C1CCC(CCCCCC2CCCCC2)CC1,3
191,[CH](C1CCCC1)C1CCC(C2CCCC3CCCC32)C1,1
192,CC1CCC2[C](CC[C]3[C]4CCCC4CC[C]32)C1,1
193,CC(CC1CCCC1)C1CCCCC1,1
194,C1CCC(CCCCC2CC2)CC1,1
195,C1CCC(C(CC2C[C]3CC[C](C3)C2)C2CCCCC2)CC1,1
196,CC1CC2CCCCC2CC1CC1CCCCC1,2
197,CC1CC(C)C(C2CCCCC2)C1C1CCCCC1,1
198,[CH]1[CH]CC2CCCCC2C1,1
199,C1CCC(CC2CCC3CCCCC32)CC1,1
200,CC1CC2CCCCC2C(C2CCCCC2)C2CCCC12,1
201,CC1CC2CCC[C]2[C]2CCC3CCCC[C]3[C]21,1
202,CC1CC2CCCC2C2CCC3CCCCC3C12,1
203,C1CCC2C(C1)CCC1CCC3CCCC3C12,1
204,C1CCC([C]2CCCC[C]2CCC2CCC3CCCC3C2)CC1,1
205,CC(CC1CCCCCC1)CC(C)(C)C1CCCCC1,1
206,[CH]1CCCC[C]1CC1CCCC2CCCC21,1
207,[CH]1[CH]CCC[CH]1,1
208,CC1CC(C(C)C2CCCCC2)CC2C1CCC1CCCCC12,1
209,CC(CC1CC2CCCC(C2)C1)C1CCC2CCCCC21,1
210,CC1CCC2[C]3CCC4CCC[C]4[C]3[CH]CC2C1,1
211,C1CC[C]([C](CC2CCCCC2)C2CCCCC2)CC1,1
212,C1CCC(C2CC3CCCCC3CC3CCCCC32)CC1,2
213,CC1CC(C)C(CCC2CCC(C3CCCCC3)C2)C1,1
214,CC1CCC(C2CCCCC2)C1C1CCCCC1,1
215,C1CC[C]2[C](C1)CCC1CCCCC21,1
216,CC1CCC2[C]3CCC4[CH]CC[C]4[C]3CCC2C1,1
217,C1CCC2C(C1)CCC1CCCCC12,1
218,CC([CH]C12CC3CC(CC(C3)C1)C2)C1[CH]C[C]2C[C]21,1
