,scaffold,frequency
91,CC(CC1CCCC2C(C)CC(C3CCCC3)CC12)C1CCC(CCCCCC2CCCCC2)CC1,1
92,C(CCCCCCCCC1CCCCC1)CCCCCCCC1CCCCC1,2
93,CC1CCC2C([CH]C[C]3[C]4CCCC4C[CH]C32)C1,1
94,CC1CCC2[C]3[CH]CC4C[CH]C[C]4[C]3[CH]CC2C1,1
95,CC(C[C]1[C]2CCC(CCC3CCCC3)CC2C1C)CC1CCCC1,1
96,CC1CCC2C(CCC3C2CCC2C(C(C)CC4CCCCC4)CCC23)C1,1
97,C1CCC2C(C1)CCCC2CC1CCC2CCC3CCCCC3C2C1,1
98,CC1CCC(CCC(C)C2CCCC2CC2CCC(C3CCCCC3C3CCCC3)CC2)C1,1
99,CC1CCCC(CCCCCCCCCCCCCCCCCCC2CCCC(C)C2)C1,1
100,CC1CC[C]2[C]1[C](C1CCCCC1)C1CC3CCCC3CC1[C]2C[C]1[CH][CH][C]2C[CH]CC[C]2C1,1
101,CC(CCCCCCC(C)CCCCC1CCC2CCCCC2[C]1CC1CCCCC1)CCCCC1CCC2CCCCC2[C]1CC1CCCCC1,1
102,CC(CCCCCCCCCCCCCCC(C)CC1CCCCC1)CC1CCCCC1,1
