,scaffold,frequency
122,[CH]1C[C]2CCCC[C]2N1,2
123,O=S(Cc1ccccn1)c1nc2ccccc2[nH]1,3
124,c1ccc2c(c1)NC1NCCC23C2NCCC13c1ccccc1N2,1
125,O=C(Cc1ccccc1)NC1C(=O)N2C=CCSC12,4
126,O=C1Cc2cc3n(c(=O)c2CO1)Cc1cc2ccccc2nc1-3,1
127,O=C1NC(=O)C2CC=CCC12,1
128,c1ccc(C(Cc2ccncn2)Cn2cncn2)cc1,1
129,O=C(Nc1nccs1)C1NS(=O)(=O)c2ccccc2C1=O,1
130,C=C1CCC2CCCCC2C1CC=C1CCOC1=O,1
131,O=C(Nc1nccs1)C1=Cc2ccccc2S(=O)(=O)N1,1
132,O=C1CCc2ccc(Oc3ccccc3)cc21,1
133,c1ccc2c3c([nH]c2c1)C1CC2CCCCC2CN1CC3,1
134,c1ccc(N=Nc2ccccc2)cc1,1
135,O=S(=O)(Nc1ccccc1)c1nc2ccncn2n1,3
136,O=c1ncccn1[C]1[CH][CH][CH]O1,1
137,O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,1
138,O=C1OCC2=C1CCC1C2CC2OC23CC2OC2C2OC123,1
139,O=c1ccn2c3c(c(N4CCNCC4)ccc13)OCC2,1
140,O=c1ccn2c3c(c(N4CCNCC4)ccc13)OC[CH]2,1
141,c1ccc(Oc2nc3ccccc3o2)cc1,1
142,O=C(COc1nncs1)Nc1ccccc1,1
143,O=C1C(=O)c2ccccc2C=C1C1CCC(c2ccccc2)CC1,1
144,c1ccc2c(c1)CC1NC2Cc2c1ccc1c2OCO1,1
145,c1ccc(-c2conc2-c2ccccc2)cc1,1
146,O=c1cccc2c(c1)CCCc1ccccc1-2,1
147,c1ccc(Nc2ccnc3ccccc23)cc1,1
148,c1ccc(-c2nc(-c3ccccc3)n(-c3ccccc3)n2)cc1,1
149,O=C1C=CC=CC1=C1NC(=C2C=CC=CC2=O)N(c2ccccc2)N1,1
150,O=C([CH]N[CH]CCc1ccccc1)N1[CH]CCC1,2
151,c1ccc(CCOCc2cccc(Oc3ccccc3)c2)cc1,1
152,O=C(NCCOc1ccccc1)n1ccnc1,1
153,c1ccc(C2(Cn3cncn3)CCCO2)cc1,1
154,c1ccc(OCc2cccc(-c3ccccc3)c2)cc1,21
155,O=P1(COCCn2cnc3cncnc32)OCCC(c2ccoc2)O1,1
156,c1ccc(OCc2ccc(-c3ccccc3)cc2)cc1,2
157,c1ccc(Oc2ccccn2)cc1,1
158,N=C(C(=O)NC1C(=O)N2C=CCSC12)c1cscn1,5
159,O=c1[nH]cnn1-c1ccccc1,1
160,C1=CC2C(C=COC2OC2CCCCO2)C1,1
161,O=C([CH]N[CH]CCc1ccccc1)N1[CH]C[C]2CCC[C]21,2
162,O=C(O[C]1c2nccnc2C(=O)N1c1ccccn1)N1CCNCC1,1
163,C1=CC2CCC1C2,1
164,O=P1(COCCn2cnc3cncnc32)OCCC(c2ccccc2)O1,22
165,N=C1CCN(c2ccc3c(=O)ccn(C4CC4)c3n2)C1,1
166,c1ccc([C](c2ccccc2)N2CCNCC2)cc1,1
167,O=P1(COCCn2cnc3cncnc32)OCCC(c2ccncc2)O1,1
168,O=P1(COCCn2cnc3cncnc32)OCCC(c2cccnc2)O1,1
169,O=C(OCc1cccc(Oc2ccccc2)c1)C1CC1,2
170,O=c1ccn(C2CC2)c2cc(N3C[CH]N[CH]C3)ccc12,1
171,O=C(OC1CC2CCC(C1)[N+]21CCCC1)C(c1ccccc1)c1ccccc1,1
172,O=C(OC1C[C]2CCC(C1)[N+]21CCCC1)C(c1ccccc1)c1ccccc1,1
173,[CH]1CCC2[C](C1)C[CH][C]1[C]3CC[CH]C3CC[C]12,1
174,c1ccc(Nc2ncnc3ccccc23)cc1,1
175,O=C1CC2OCC=C3CN4CCC56c7ccccc7N1C5C2C3CC46,1
176,O=P1(COCCn2cnc3cncnc32)OCCC(c2ccsc2)O1,1
177,c1cncc(C2=NCCS2)c1,1
178,C1CCC(OC2CCCO2)OC1,1
179,c1ccc(OCc2cccc(Oc3ccccc3)c2)cc1,1
180,O=c1cccc2c(c1)[CH]CCc1ccccc1-2,1
181,c1ccc(OCc2cccc(-n3cccc3)c2)cc1,1
182,O=c1ccn(C2CC2)c2cc(N3C[C]4CCCN[C]4C3)ccc12,1
183,c1ccc(OCc2cccc(-c3cnoc3)c2)cc1,5
184,O=C(Nc1ncncn1)NS(=O)(=O)c1ccccc1,2
185,O=C([CH]N[CH]CCc1ccccc1)N1[CH]C[C]2CCCC[C]21,2
186,c1ccc(OCc2cnc(-c3ccccc3)s2)cc1,6
187,O=C1C[CH]C[C](CC[C]2[CH]C=CC3=C[CH]C[CH][C]23)O1,2
188,O=C(Nc1ncccn1)NS(=O)(=O)c1ccccc1C(=O)OC1COC1,1
189,O=S1OCC2C3C=CC(C3)C2CO1,1
190,C(=C(c1ccccc1)c1ccccc1)c1ccccc1,1
191,C(=NOCc1ccccc1)c1ccccc1,1
192,O=c1ccc2cc3c(cc2o1)OC(COC1CCCCO1)C3,1
193,[CH]1[CH][CH][C](c2cccc(Cc3ccccc3)c2)O[CH]1,1
194,c1ccc(Cc2cccc(C3CCCCO3)c2)cc1,1
195,C=C(C(=O)NC1C(=O)N2C=CCSC12)c1cscn1,1
196,c1ccc(-c2c[nH]c3ccccc23)cc1,1
197,c1ccc(-c2cc[nH]n2)cc1,1
198,O=C1OCC2Cc3cc4c(cc3C(c3ccccc3)C12)OCO4,1
199,O=C1C=C2CCC3C4CCC5(CCC(=O)O5)C4CC4OC43C2CC1,1
200,O=C(Cc1cccs1)N[C]1[C]2SCC(C[n+]3ccccc3)=CN2C1=O,1
201,O=c1ccn(-c2ccccc2)c2nc(N3C[C]4C[C]4C3)ccc12,1
202,O=c1c(-c2ccccc2)coc2c(C3CCCCO3)cccc12,1
203,O=C1[C](N[CH]CCc2ccccc2)CCCN2CCC[CH]N12,1
204,O=C(NCc1ccccc1)c1cc(-c2nnn(CC3CCCCC3)n2)ccn1,22
205,c1ccc(-c2cc(C3CC3)nc3ccccc23)cc1,1
206,O=C(NCc1ccccc1)c1cc(-c2nnn(CC3CCNCC3)n2)ccn1,4
207,O=C(NCc1ccccc1)c1cc(-c2nnn(CC3CCCCO3)n2)ccn1,1
208,O=C(NCc1ccccc1)c1cc(-c2nnn(CC3CCCOC3)n2)ccn1,1
209,c1ccc(-c2nn[nH]n2)c(-c2ccc(Cn3ccnc3)cc2)c1,1
210,O=P1(COCCn2cnc3cncnc32)OCC[C](c2ccccc2)O1,2
211,N=C(C(=O)NC1C(=O)N2C=CCSC12)c1ccco1,2
212,O=C(NCc1ccccc1)c1cc(-c2nnn(CC3COCCO3)n2)ccn1,2
213,[CH]1[CH][C]2[CH]C[CH]C=C2C=C1,1
214,O=c1nc[nH]c2[nH]cc(CCc3ccccc3)c12,1
215,O=C(Cc1cccs1)NC1C(=O)N2C=CCSC12,1
216,O=C(CN1CCN(CCCOc2ccccc2)CC1)Nc1ccccc1,1
217,O=C1N(Cc2ccc(-c3ccccc3-c3nn[nH]n3)cc2)C=NC12CCCC2,1
218,O=C1CCc2ccc(OCc3cccc(-c4ccccc4)c3)cc21,1
219,O=C(Nc1ncccn1)NS(=O)(=O)c1ccccn1,1
220,c1ccc(-c2cccc(COc3ccc4c(c3)CCC4)c2)cc1,1
221,O=C1CCc2ccccc2C2CCCCN12,1
222,O=C(CCC=CCc1ccc2c(c1)C(=O)OC2)OCCN1CCOCC1,1
