,scaffold,frequency
43,O=C1OC(OC(=O)c2cccnc2Nc2ccccc2)c2ccccc21,1
44,c1ccc(-c2nnn[nH]2)c(-c2ccc(Cn3ccnc3)cc2)c1,1
45,N=C(C(=O)N[C]1[C]2SCC=CN2C1=O)c1ccco1,1
46,O=C(CN1CCN(CCCOc2ccccc2)CC1)Nc1ccccc1,1
47,O=C1N(Cc2ccc(-c3ccccc3-c3nnn[nH]3)cc2)C=NC12CCCC2,1
48,c1ccc(-c2ccccc2-c2nnn[nH]2)cc1,1
49,O=C(NCc1ccccc1)c1cc(=O)[nH]c(CNC(=O)c2nnco2)n1,1
50,O=C(Nc1ccccc1)Nc1ccc(Oc2ccncc2)cc1,1
51,O=c1[nH]c(-c2cccc(S(=O)(=O)N3CCNCC3)c2)nc2cn[nH]c12,1
52,c1ccc(CCc2cnc3ncncc3n2)cc1,1
53,c1ccc(-c2ccncn2)cc1,1
54,O=c1[nH]c(-c2cccc(S(=O)(=O)N3CCNCC3)c2)nn2cncc12,1
55,O=C(Nc1cccc(Nc2nccc(-c3cccnc3)n2)c1)c1ccc(CN2CCNCC2)cc1,1
56,c1ncc2nc[nH]c2n1,2
57,N=C(C(=O)N[C]1[C]2SCC(C[n+]3ccccc3)=CN2C1=O)c1cscn1,1
58,N=C(C(=O)NC1C(=O)N2C=C(CSc3nc(=O)c(=O)[nH][nH]3)CSC12)c1cscn1,1
59,c1ccc(COc2ccc(Nc3ncnc4ccc(-c5ccco5)cc34)cc2)cc1,1
60,C(=Cc1ccc2ccccc2n1)c1cccc([C](CCc2ccccc2)SCC2CC2)c1,1
61,O=C(OCOC(=O)c1cccc2ncn(Cc3ccc(-c4ccccc4-c4nnn[nH]4)cc3)c12)OC1CCCCC1,1
62,O=c1[nH]ncn1-c1ccc(N2CCN(c3ccc(OCC4COC(Cn5cncn5)(c5ccccc5)C4)cc3)CC2)cc1,1
63,O=C1CCCC(OC2CCC(OC3CCCCO3)CO2)CCCCC=CC=CCCO1,1
64,O=C(CCCNC(=O)c1ccccc1)OCCCN1CCN(CCOC(=O)Cc2cn(C(=O)c3ccccc3)c3ccccc23)CC1,1
65,O=C1O[C]2C[C](CC=C[C](O[C]3C[CH][C](O[C]4C[CH][CH][CH]O4)[CH]O3)[CH]C=CC=C3CO[C]4[CH]C=C[C]1C43)OC1(CC[CH][CH]O1)C2,1
66,O=C(CCCCC(=O)Nc1ccccc1)Nc1ccccc1,1
67,O=C1[CH]NC(=O)[CH]NC(=O)[CH]NC(=O)[CH]NC(=O)[CH]NC(=O)CNC(=O)[CH]NC(=O)[CH]NC(=O)[CH]NC(=O)[CH]NC(=O)[CH]N1,1
68,c1c[nH+]ccn1,1
69,O=C1CCCC(=O)N1,1
70,C1CCNCC1,1
71,c1cncc(C2CCCN2)c1,1
72,S=C1NCNCS1,1
73,O=C1N=COC1c1ccccc1,1
74,c1ccncc1,2
75,O=c1[nH]c(=O)c2[nH]cnc2[nH]1,2
76,C1=CCCC=C1,1
77,O=c1[nH]c(=O)c2nc[nH]c2[nH]1,1
78,C1=Nc2ccccc2Oc2ccccc21,1
79,O=c1nc[nH]c(=O)[nH]1,1
80,C=C1CN2C(=O)CC2O1,1
81,c1ccc(Cc2ccccc2)cc1,2
82,c1ccc(COc2ccccc2)cc1,1
83,c1ccc2c(c1)CCCC2C1=NCCN1,1
84,O=C1NC(=O)C(c2ccccc2)N1,1
85,c1ccc2[nH]ccc2c1,1
86,O=C(OCc1ccccc1)c1ccccc1,1
87,O=c1ccs[nH]1,1
88,O=C1NCCN1c1nccs1,1
89,O=C(OOC(=O)c1ccccc1)c1ccccc1,1
90,[CH](c1ccccc1)n1ccnc1,1
91,O=C1N[C]2[CH]SC[C]2N1,1
92,O=c1ccn(C2CCCO2)c(=O)[nH]1,1
93,[CH]1CC[C]2C[C]3C=CCC12C3,1
94,O=c1cc[nH]c(=O)[nH]1,1
95,C=C(C(=C)c1ccccc1)c1ccccc1,1
96,c1ccc2c(c1)N[C]1NCCC12,1
97,O=C(Cc1ccccc1)OC1CCCCC1,1
98,C1CCC(C(CC2CCCCN2)C2CCCCC2)CC1,1
99,C(CN1CCCC1)=C(c1ccccc1)c1ccccn1,1
100,C1=Nc2ccccc2C(c2ccccc2)=[NH+]C1,1
101,O=C1CN=C(c2ccccc2)c2ccccc2N1,1
102,O=C(Cc1ccccc1)OC1C[C]2CC[C](C1)[NH2+]2,1
103,O=C(Cc1ccccc1)OC1CC2CCC(C1)[NH2+]2,1
104,O=C(CCCN1CCCC1)c1ccccc1,1
105,S=C(Nc1ccccc1)Oc1ccc2ccccc2c1,1
106,O=c1oc2ccccc2cc1Cc1ccccc1,1
107,c1ccc2c(c1)CCCC2,1
108,c1ccc(Cn2ncc3ccccc32)cc1,1
109,c1ccc(C(CCCN2CCCCC2)c2ccccc2)cc1,1
110,C1=CC(=Nc2ccccc2)C=CC1=Nc1ccccc1,1
111,c1ccc2c(c1)CCc1ccccc1N2,1
