variant,calibration,threshold_objective,threshold,external_auroc,external_accuracy,external_f1,external_kappa
hybrid_knn_prob_lgbm__cal_none__thr_f1,none,f1,0.3,0.8226973684210527,0.7450331125827815,0.7458745874587459,0.4901109503135552
hybrid_knn_prob_lgbm__cal_none__thr_kappa,none,kappa,0.3,0.8226973684210527,0.7450331125827815,0.7458745874587459,0.4901109503135552
hybrid_knn_prob_lgbm__cal_isotonic__thr_f1,isotonic,f1,0.3,0.7801754385964912,0.7417218543046358,0.7450980392156863,0.4835569586950802
hybrid_knn_prob_lgbm__cal_isotonic__thr_kappa,isotonic,kappa,0.3,0.7801754385964912,0.7417218543046358,0.7450980392156863,0.4835569586950802
hybrid_knn_prob_lgbm__cal_sigmoid__thr_f1,sigmoid,f1,0.3,0.8225657894736843,0.7483443708609272,0.7432432432432432,0.49657834707843485
hybrid_knn_prob_lgbm__cal_sigmoid__thr_kappa,sigmoid,kappa,0.3,0.8225657894736843,0.7483443708609272,0.7432432432432432,0.49657834707843485
